date,sessions
2021-05-13,11724
2021-05-14,9719
2021-05-15,5999
2021-05-16,5667
2021-05-17,10676
2021-05-18,12271
2021-05-19,12076
2021-05-20,11283
2021-05-21,10032
2021-05-22,6096
2021-05-23,5804
2021-05-24,11701
2021-05-25,11739
2021-05-26,11120
2021-05-27,11742
2021-05-28,10126
2021-05-29,5881
2021-05-30,5551
2021-05-31,10863
2021-06-01,11034
2021-06-02,11892
2021-06-03,10493
2021-06-04,9841
2021-06-05,6218
2021-06-06,5521
2021-06-07,11380
2021-06-08,10471
2021-06-09,10914
2021-06-10,10264
2021-06-11,9405
2021-06-12,5555
2021-06-13,5827
2021-06-14,10705
2021-06-15,11816
2021-06-16,10891
2021-06-17,11037
2021-06-18,9711
2021-06-19,6264
2021-06-20,5320
2021-06-21,11189
2021-06-22,10785
2021-06-23,11072
2021-06-24,10863
2021-06-25,10143
2021-06-26,6265
2021-06-27,5321
2021-06-28,10994
2021-06-29,11837
2021-06-30,11489
2021-07-01,10882
2021-07-02,9861
2021-07-03,6220
2021-07-04,5815
2021-07-05,11119
2021-07-06,9929
2021-07-07,10271
2021-07-08,10421
2021-07-09,9456
2021-07-10,5796
2021-07-11,5257
2021-07-12,11427
2021-07-13,10788
2021-07-14,11550
2021-07-15,10573
2021-07-16,9339
2021-07-17,5915
2021-07-18,5607
2021-07-19,10955
2021-07-20,11620
2021-07-21,11325
2021-07-22,10427
2021-07-23,9486
2021-07-24,5524
2021-07-25,5570
2021-07-26,10644
2021-07-27,11752
2021-07-28,11582
2021-07-29,10390
2021-07-30,8704
2021-07-31,5895
2021-08-01,5222
2021-08-02,10944
2021-08-03,10578
2021-08-04,11439
2021-08-05,11273
2021-08-06,10461
2021-08-07,5196
2021-08-08,5083
2021-08-09,10455
2021-08-10,10884
2021-08-11,10504
2021-08-12,10306
2021-08-13,8618
2021-08-14,5461
2021-08-15,4859
2021-08-16,10963
2021-08-17,11868
2021-08-18,11884
2021-08-19,10660
2021-08-20,9062
2021-08-21,5700
2021-08-22,5587
2021-08-23,10508
2021-08-24,10789
2021-08-25,11568
2021-08-26,10791
2021-08-27,9085
2021-08-28,5701
2021-08-29,4990
2021-08-30,11024
2021-08-31,10803
2021-09-01,10705
2021-09-02,10506
2021-09-03,9056
2021-09-04,5933
2021-09-05,5077
2021-09-06,10947
2021-09-07,10623
2021-09-08,10285
2021-09-09,10225
2021-09-10,9168
2021-09-11,5669
2021-09-12,4907
2021-09-13,10613
2021-09-14,11061
2021-09-15,10524
2021-09-16,9655
2021-09-17,9077
2021-09-18,5016
2021-09-19,5130
2021-09-20,10025
2021-09-21,11043
2021-09-22,9801
2021-09-23,10330
2021-09-24,9061
2021-09-25,5733
2021-09-26,5161
2021-09-27,10640
2021-09-28,9954
2021-09-29,10418
2021-09-30,10270
2021-10-01,8219
2021-10-02,5778
2021-10-03,5021
2021-10-04,10552
2021-10-05,10571
2021-10-06,9842
2021-10-07,10123
2021-10-08,8800
2021-10-09,5507
2021-10-10,4572
2021-10-11,10568
2021-10-12,10456
2021-10-13,10509
2021-10-14,10308
2021-10-15,8614
2021-10-16,5236
2021-10-17,4982
2021-10-18,9712
2021-10-19,10877
2021-10-20,10484
2021-10-21,9454
2021-10-22,9045
2021-10-23,5233
2021-10-24,4888
2021-10-25,9513
2021-10-26,10192
2021-10-27,10601
2021-10-28,9799
2021-10-29,8864
2021-10-30,5233
2021-10-31,5221
2021-11-01,10311
2021-11-02,11119
2021-11-03,10601
2021-11-04,9400
2021-11-05,9478
2021-11-06,4806
2021-11-07,4641
2021-11-08,10692
2021-11-09,10336
2021-11-10,10414
2021-11-11,10233
2021-11-12,9420
2021-11-13,4938
2021-11-14,4718
2021-11-15,9709
2021-11-16,10464
2021-11-17,9826
2021-11-18,9443
2021-11-19,8603
2021-11-20,5608
2021-11-21,4749
2021-11-22,10950
2021-11-23,11195
2021-11-24,10886
2021-11-25,9700
2021-11-26,8485
2021-11-27,5294
2021-11-28,5291
2021-11-29,9875
2021-11-30,10726
2021-12-01,10925
2021-12-02,9608
2021-12-03,9324
2021-12-04,5549
2021-12-05,5382
2021-12-06,10242
2021-12-07,10904
2021-12-08,10894
2021-12-09,10268
2021-12-10,9678
2021-12-11,5879
2021-12-12,4981
2021-12-13,10076
2021-12-14,10466
2021-12-15,10214
2021-12-16,10194
2021-12-17,8678
2021-12-18,5410
2021-12-19,5319
2021-12-20,10766
2021-12-21,11507
2021-12-22,10848
2021-12-23,9550
2021-12-24,9604
2021-12-25,5732
2021-12-26,5138
2021-12-27,10318
2021-12-28,11814
2021-12-29,10820
2021-12-30,10816
2021-12-31,9201
2022-01-01,5741
2022-01-02,5055
2022-01-03,10774
2022-01-04,11024
2022-01-05,10475
2022-01-06,10250
2022-01-07,9400
2022-01-08,5952
2022-01-09,5414
2022-01-10,10166
2022-01-11,11197
2022-01-12,10990
2022-01-13,10616
2022-01-14,10446
2022-01-15,5993
2022-01-16,5531
2022-01-17,10411
2022-01-18,12506
2022-01-19,10781
2022-01-20,10791
2022-01-21,9526
2022-01-22,5789
2022-01-23,5551
2022-01-24,11000
2022-01-25,10174
2022-01-26,10885
2022-01-27,11614
2022-01-28,10583
2022-01-29,6106
2022-01-30,5825
2022-01-31,11359
2022-02-01,11828
2022-02-02,11744
2022-02-03,11621
2022-02-04,9455
2022-02-05,5953
2022-02-06,5942
2022-02-07,12459
2022-02-08,12452
2022-02-09,11623
2022-02-10,11331
2022-02-11,9769
2022-02-12,5802
2022-02-13,5860
2022-02-14,12390
2022-02-15,11773
2022-02-16,12023
2022-02-17,12149
2022-02-18,10854
2022-02-19,6517
2022-02-20,5143
2022-02-21,11866
2022-02-22,12419
2022-02-23,12094
2022-02-24,12216
2022-02-25,10215
2022-02-26,5826
2022-02-27,5815
2022-02-28,11986
2022-03-01,11350
2022-03-02,11944
2022-03-03,11405
2022-03-04,10758
2022-03-05,5824
2022-03-06,6261
2022-03-07,13190
2022-03-08,12277
2022-03-09,12573
2022-03-10,12047
2022-03-11,10517
2022-03-12,6715
2022-03-13,5709
2022-03-14,12441
2022-03-15,12456
2022-03-16,12767
2022-03-17,11637
2022-03-18,10468
2022-03-19,6682
2022-03-20,6046
2022-03-21,13085
2022-03-22,12905
2022-03-23,13269
2022-03-24,12223
2022-03-25,11082
2022-03-26,6809
2022-03-27,6430
2022-03-28,12002
2022-03-29,12812
2022-03-30,13121
2022-03-31,13086
2022-04-01,10143
2022-04-02,6223
2022-04-03,6446
2022-04-04,13302
2022-04-05,13128
2022-04-06,12997
2022-04-07,12565
2022-04-08,11098
2022-04-09,6686
2022-04-10,6172
2022-04-11,13753
2022-04-12,13336
2022-04-13,12354
2022-04-14,12216
2022-04-15,10814
2022-04-16,6935
2022-04-17,6431
2022-04-18,13969
2022-04-19,13597
2022-04-20,13401
2022-04-21,13322
2022-04-22,11837
2022-04-23,7243
2022-04-24,6799
2022-04-25,11994
2022-04-26,13416
2022-04-27,12961
2022-04-28,13066
2022-04-29,11556
2022-04-30,7233
2022-05-01,6874
2022-05-02,13570
2022-05-03,13965
2022-05-04,12835
2022-05-05,12469
2022-05-06,11475
2022-05-07,6524
2022-05-08,6336
2022-05-09,13537
2022-05-10,13428
2022-05-11,12864
2022-05-12,11806
2022-05-13,12656
2022-05-14,6943
2022-05-15,6361
2022-05-16,12782
2022-05-17,13347
2022-05-18,13531
2022-05-19,13423
2022-05-20,11840
2022-05-21,6832
2022-05-22,6230
2022-05-23,13637
2022-05-24,14052
2022-05-25,13656
2022-05-26,13894
2022-05-27,11827
2022-05-28,7140
2022-05-29,6935
2022-05-30,12676
2022-05-31,14891
2022-06-01,13806
2022-06-02,12744
2022-06-03,11720
2022-06-04,6953
2022-06-05,6743
2022-06-06,13889
2022-06-07,13873
2022-06-08,13249
2022-06-09,13890
2022-06-10,12205
2022-06-11,7454
2022-06-12,7186
2022-06-13,13775
2022-06-14,14254
2022-06-15,13382
2022-06-16,13472
2022-06-17,10855
2022-06-18,6676
2022-06-19,5901
2022-06-20,13685
2022-06-21,14197
2022-06-22,13554
2022-06-23,12697
2022-06-24,11183
2022-06-25,7091
2022-06-26,6177
2022-06-27,12865
2022-06-28,13515
2022-06-29,12530
2022-06-30,12641
2022-07-01,11040
2022-07-02,6591
2022-07-03,6239
2022-07-04,12376
2022-07-05,13745
2022-07-06,13162
2022-07-07,12583
2022-07-08,10419
2022-07-09,6734
2022-07-10,6133
2022-07-11,12533
2022-07-12,12966
2022-07-13,14460
2022-07-14,13238
2022-07-15,11326
2022-07-16,6810
2022-07-17,6216
2022-07-18,13252
2022-07-19,14206
2022-07-20,13082
2022-07-21,12415
2022-07-22,10653
2022-07-23,6434
2022-07-24,6407
2022-07-25,12911
2022-07-26,12803
2022-07-27,13583
2022-07-28,12160
2022-07-29,10865
2022-07-30,7113
2022-07-31,6227
2022-08-01,12344
2022-08-02,14065
2022-08-03,12078
2022-08-04,11974
2022-08-05,10300
2022-08-06,6778
2022-08-07,5783
2022-08-08,12449
2022-08-09,12759
2022-08-10,12775
2022-08-11,13480
2022-08-12,10865
2022-08-13,6558
2022-08-14,5939
2022-08-15,13221
2022-08-16,13045
2022-08-17,12709
2022-08-18,11959
2022-08-19,10794
2022-08-20,6597
2022-08-21,6013
2022-08-22,13066
2022-08-23,12002
2022-08-24,13096
2022-08-25,13234
2022-08-26,11250
2022-08-27,6455
2022-08-28,5976
2022-08-29,12387
2022-08-30,13393
2022-08-31,12041
2022-09-01,12445
2022-09-02,9732
2022-09-03,6684
2022-09-04,5802
2022-09-05,12080
2022-09-06,13941
2022-09-07,12642
2022-09-08,12358
2022-09-09,10699
2022-09-10,5996
2022-09-11,6162
2022-09-12,11997
2022-09-13,12498
2022-09-14,11166
2022-09-15,11763
2022-09-16,9844
2022-09-17,6209
2022-09-18,5786
2022-09-19,12077
2022-09-20,12590
2022-09-21,13278
2022-09-22,12040
2022-09-23,10323
2022-09-24,6019
2022-09-25,6075
2022-09-26,11014
2022-09-27,12220
2022-09-28,11582
2022-09-29,12035
2022-09-30,9582
2022-10-01,6422
2022-10-02,5971
2022-10-03,11115
2022-10-04,13142
2022-10-05,11601
2022-10-06,12663
2022-10-07,10025
2022-10-08,6482
2022-10-09,5628
2022-10-10,11906
2022-10-11,11978
2022-10-12,13401
2022-10-13,11217
2022-10-14,10469
2022-10-15,6465
2022-10-16,5755
2022-10-17,11642
2022-10-18,12390
2022-10-19,12635
2022-10-20,12094
2022-10-21,10927
2022-10-22,5996
2022-10-23,5559
2022-10-24,11257
2022-10-25,12524
2022-10-26,11984
2022-10-27,10662
2022-10-28,10212
2022-10-29,5858
2022-10-30,5587
2022-10-31,12656
2022-11-01,12786
2022-11-02,12826
2022-11-03,11539
2022-11-04,9843
2022-11-05,6086
2022-11-06,5907
2022-11-07,11986
2022-11-08,11501
2022-11-09,11898
2022-11-10,10684
2022-11-11,9633
2022-11-12,5965
2022-11-13,5748
2022-11-14,12491
2022-11-15,12345
2022-11-16,12818
2022-11-17,11540
2022-11-18,10540
2022-11-19,6021
2022-11-20,6281
2022-11-21,11369
2022-11-22,13014
2022-11-23,12635
2022-11-24,11862
2022-11-25,10230
2022-11-26,6043
2022-11-27,6246
2022-11-28,12350
2022-11-29,13004
2022-11-30,11277
2022-12-01,11227
2022-12-02,10705
2022-12-03,6284
2022-12-04,5906
2022-12-05,11801
2022-12-06,13020
2022-12-07,12657
2022-12-08,11847
2022-12-09,11154
2022-12-10,6210
2022-12-11,5818
2022-12-12,11578
2022-12-13,12828
2022-12-14,11775
2022-12-15,11654
2022-12-16,10481
2022-12-17,6698
2022-12-18,6241
2022-12-19,12196
2022-12-20,12229
2022-12-21,12439
2022-12-22,11748
2022-12-23,10974
2022-12-24,6420
2022-12-25,6045
2022-12-26,11768
2022-12-27,12694
2022-12-28,13011
2022-12-29,11797
2022-12-30,10246
2022-12-31,6225
2023-01-01,6611
2023-01-02,12237
2023-01-03,12325
2023-01-04,11705
2023-01-05,12132
2023-01-06,10709
2023-01-07,6373
2023-01-08,6018
2023-01-09,12512
2023-01-10,12938
2023-01-11,12368
2023-01-12,12064
2023-01-13,10052
2023-01-14,6572
2023-01-15,6232
2023-01-16,12865
2023-01-17,12708
2023-01-18,13491
2023-01-19,11668
2023-01-20,11155
2023-01-21,6869
2023-01-22,6014
2023-01-23,13177
2023-01-24,12775
2023-01-25,13353
2023-01-26,12314
2023-01-27,11338
2023-01-28,7195
2023-01-29,6337
2023-01-30,13462
2023-01-31,13475
2023-02-01,12726
2023-02-02,13053
2023-02-03,11323
2023-02-04,7151
2023-02-05,6655
2023-02-06,13803
2023-02-07,13292
2023-02-08,13788
2023-02-09,13049
2023-02-10,11040
2023-02-11,7245
2023-02-12,6812
2023-02-13,13042
2023-02-14,14283
2023-02-15,14117
2023-02-16,13814
2023-02-17,12046
2023-02-18,7596
2023-02-19,6634
2023-02-20,13770
2023-02-21,14238
2023-02-22,14906
2023-02-23,11946
2023-02-24,11629
2023-02-25,7256
2023-02-26,6750
2023-02-27,13664
2023-02-28,13859
2023-03-01,14339
2023-03-02,13425
2023-03-03,11738
2023-03-04,7338
2023-03-05,6950
2023-03-06,14260
2023-03-07,14625
2023-03-08,14593
2023-03-09,13947
2023-03-10,11159
2023-03-11,7598
2023-03-12,6723
2023-03-13,14544
2023-03-14,13086
2023-03-15,14606
2023-03-16,14617
2023-03-17,12773
2023-03-18,6726
2023-03-19,6703
2023-03-20,13573
2023-03-21,15196
2023-03-22,14487
2023-03-23,13585
2023-03-24,12945
2023-03-25,7631
2023-03-26,7148
2023-03-27,14255
2023-03-28,14863
2023-03-29,13398
2023-03-30,14993
2023-03-31,12276
2023-04-01,7216
2023-04-02,7117
2023-04-03,13559
2023-04-04,14885
2023-04-05,15423
2023-04-06,11899
2023-04-07,13217
2023-04-08,7581
2023-04-09,6539
2023-04-10,15668
2023-04-11,15829
2023-04-12,14551
2023-04-13,13941
2023-04-14,12663
2023-04-15,7693
2023-04-16,6899
2023-04-17,14134
2023-04-18,15286
2023-04-19,16139
2023-04-20,15669
2023-04-21,11874
2023-04-22,7727
2023-04-23,7157
2023-04-24,14267
2023-04-25,15388
2023-04-26,14118
2023-04-27,14429
2023-04-28,13619
2023-04-29,8211
2023-04-30,6941
2023-05-01,14306
2023-05-02,16861
2023-05-03,14729
2023-05-04,14300
2023-05-05,12689
2023-05-06,7929
2023-05-07,7552
2023-05-08,16144
2023-05-09,15669
2023-05-10,15473
2023-05-11,14884
2023-05-12,13190
2023-05-13,7628
2023-05-14,7333
2023-05-15,15493
2023-05-16,14649
2023-05-17,16477
2023-05-18,14838
2023-05-19,13357
2023-05-20,7802
2023-05-21,7742
2023-05-22,15709
2023-05-23,15104
2023-05-24,15116
2023-05-25,15055
2023-05-26,13337
2023-05-27,7472
2023-05-28,8178
2023-05-29,14454
2023-05-30,16296
2023-05-31,15728
2023-06-01,14804
2023-06-02,11994
2023-06-03,8302
2023-06-04,7104
2023-06-05,15137
2023-06-06,16012
2023-06-07,15278
2023-06-08,13550
2023-06-09,12882
2023-06-10,8213
2023-06-11,7657
2023-06-12,14087
2023-06-13,16233
2023-06-14,13564
2023-06-15,15006
2023-06-16,13039
2023-06-17,7443
2023-06-18,7277
2023-06-19,14943
2023-06-20,15796
2023-06-21,13818
2023-06-22,15825
2023-06-23,12444
2023-06-24,8277
2023-06-25,7578
2023-06-26,15159
2023-06-27,16180
2023-06-28,15450
2023-06-29,14209
2023-06-30,13347
2023-07-01,8038
2023-07-02,6406
2023-07-03,15598
2023-07-04,15392
2023-07-05,14699
2023-07-06,13955
2023-07-07,12864
2023-07-08,7187
2023-07-09,7261
2023-07-10,15134
2023-07-11,14060
2023-07-12,14318
2023-07-13,14895
2023-07-14,12961
2023-07-15,8104
2023-07-16,6999
2023-07-17,14819
2023-07-18,14210
2023-07-19,16591
2023-07-20,13611
2023-07-21,11196
2023-07-22,7651
2023-07-23,6647
2023-07-24,15148
2023-07-25,14171
2023-07-26,14553
2023-07-27,14624
2023-07-28,13347
2023-07-29,8099
2023-07-30,7554
2023-07-31,14472
2023-08-01,16425
2023-08-02,14645
2023-08-03,14051
2023-08-04,12723
2023-08-05,8215
2023-08-06,7241
2023-08-07,14242
2023-08-08,14541
2023-08-09,15272
2023-08-10,13433
2023-08-11,13272
2023-08-12,7253
2023-08-13,6918
2023-08-14,14668
2023-08-15,15438
2023-08-16,13825
2023-08-17,13929
2023-08-18,12430
2023-08-19,7601
2023-08-20,7085
2023-08-21,13532
2023-08-22,13436
2023-08-23,12297
2023-08-24,14257
2023-08-25,11826
2023-08-26,7297
2023-08-27,7277
2023-08-28,14961
2023-08-29,14780
2023-08-30,14842
2023-08-31,13957
2023-09-01,12317
2023-09-02,7044
2023-09-03,6599
2023-09-04,13192
2023-09-05,15556
2023-09-06,14631
2023-09-07,14532
2023-09-08,10885
2023-09-09,7169
2023-09-10,7426
2023-09-11,13941
2023-09-12,14926
2023-09-13,14109
2023-09-14,13836
2023-09-15,11978
2023-09-16,6758
2023-09-17,6861
2023-09-18,13504
2023-09-19,15058
2023-09-20,14184
2023-09-21,12792
2023-09-22,11978
2023-09-23,7091
2023-09-24,6436
2023-09-25,13725
2023-09-26,13912
2023-09-27,14112
2023-09-28,13559
2023-09-29,10419
2023-09-30,6858
2023-10-01,6433
2023-10-02,13747
2023-10-03,13602
2023-10-04,13075
2023-10-05,12968
2023-10-06,11607
2023-10-07,7523
2023-10-08,6343
2023-10-09,13395
2023-10-10,14434
2023-10-11,13678
2023-10-12,12605
2023-10-13,11205
2023-10-14,6903
2023-10-15,6503
2023-10-16,13284
2023-10-17,12171
2023-10-18,13579
2023-10-19,11806
2023-10-20,11850
2023-10-21,7099
2023-10-22,6620
2023-10-23,13847
2023-10-24,13302
2023-10-25,14372
2023-10-26,12561
2023-10-27,11774
2023-10-28,6583
2023-10-29,6358
2023-10-30,12552
2023-10-31,14181
2023-11-01,12896
2023-11-02,12783
2023-11-03,11108
2023-11-04,7215
2023-11-05,6735
2023-11-06,14344
2023-11-07,14288
2023-11-08,13797
2023-11-09,12853
2023-11-10,12334
2023-11-11,7603
2023-11-12,6434
2023-11-13,12258
2023-11-14,12736
2023-11-15,13809
2023-11-16,14405
2023-11-17,11629
2023-11-18,7088
2023-11-19,6330
2023-11-20,13631
2023-11-21,13953
2023-11-22,14000
2023-11-23,13989
2023-11-24,12342
2023-11-25,6693
2023-11-26,6668
2023-11-27,13470
2023-11-28,13833
2023-11-29,13543
2023-11-30,13058
2023-12-01,11390
2023-12-02,7238
2023-12-03,6824
2023-12-04,12285
2023-12-05,13855
2023-12-06,14384
2023-12-07,14067
2023-12-08,10978
2023-12-09,7281
2023-12-10,6449
2023-12-11,13055
2023-12-12,14582
2023-12-13,14100
2023-12-14,12863
2023-12-15,11192
2023-12-16,7797
2023-12-17,6675
2023-12-18,13508
2023-12-19,14266
2023-12-20,14699
2023-12-21,14269
2023-12-22,12062
2023-12-23,7610
2023-12-24,7416
2023-12-25,13099
2023-12-26,14987
2023-12-27,13925
2023-12-28,14013
2023-12-29,12334
2023-12-30,7326
2023-12-31,7279
2024-01-01,14826
2024-01-02,14462
2024-01-03,14858
2024-01-04,14187
2024-01-05,12907
2024-01-06,7765
2024-01-07,7127
2024-01-08,14055
2024-01-09,13791
2024-01-10,14046
2024-01-11,14798
2024-01-12,12380
2024-01-13,6821
2024-01-14,7016
2024-01-15,14324
2024-01-16,14114
2024-01-17,13847
2024-01-18,12920
2024-01-19,12869
2024-01-20,7561
2024-01-21,7190
2024-01-22,13030
2024-01-23,15861
2024-01-24,15825
2024-01-25,13520
2024-01-26,11876
2024-01-27,7682
2024-01-28,7850
2024-01-29,14340
2024-01-30,14654
2024-01-31,14370
2024-02-01,15511
2024-02-02,12245
2024-02-03,8264
2024-02-04,7209
2024-02-05,15965
2024-02-06,15533
2024-02-07,15719
2024-02-08,14407
2024-02-09,11704
2024-02-10,8222
2024-02-11,7019
2024-02-12,16357
2024-02-13,15517
2024-02-14,15149
2024-02-15,14425
2024-02-16,13755
2024-02-17,7599
2024-02-18,7396
2024-02-19,15203
2024-02-20,16180
2024-02-21,16213
2024-02-22,14739
2024-02-23,13351
2024-02-24,8595
2024-02-25,7806
2024-02-26,15060
2024-02-27,16882
2024-02-28,16794
2024-02-29,16143
2024-03-01,12876
2024-03-02,7802
2024-03-03,8334
2024-03-04,15925
2024-03-05,15869
2024-03-06,15992
2024-03-07,15419
2024-03-08,12969
2024-03-09,8407
2024-03-10,7478
2024-03-11,15687
2024-03-12,18284
2024-03-13,15600
2024-03-14,15576
2024-03-15,14058
2024-03-16,9079
2024-03-17,8465
2024-03-18,15579
2024-03-19,16086
2024-03-20,15883
2024-03-21,16582
2024-03-22,14270
2024-03-23,8576
2024-03-24,8035
2024-03-25,16146
2024-03-26,17070
2024-03-27,16846
2024-03-28,16615
2024-03-29,13947
2024-03-30,8184
2024-03-31,8038
2024-04-01,15481
2024-04-02,15493
2024-04-03,16169
2024-04-04,15754
2024-04-05,15040
2024-04-06,8763
2024-04-07,7921
2024-04-08,16941
2024-04-09,17084
2024-04-10,17460
2024-04-11,16733
2024-04-12,14497
2024-04-13,8710
2024-04-14,8018
2024-04-15,16533
2024-04-16,18352
2024-04-17,18191
2024-04-18,14884
2024-04-19,13304
2024-04-20,9516
2024-04-21,8221
2024-04-22,17497
2024-04-23,17157
2024-04-24,17511
2024-04-25,17718
2024-04-26,14009
2024-04-27,8857
2024-04-28,7426
2024-04-29,17525
2024-04-30,16803
2024-05-01,18478
2024-05-02,18064
2024-05-03,14497
2024-05-04,8512
2024-05-05,8567
2024-05-06,16084
2024-05-07,18025
2024-05-08,16634
2024-05-09,18267
2024-05-10,13714
2024-05-11,8781
2024-05-12,8060
2024-05-13,18882
2024-05-14,16822
2024-05-15,15457
2024-05-16,16526
2024-05-17,14083
2024-05-18,9112
2024-05-19,8562
2024-05-20,17000
2024-05-21,17813
2024-05-22,16848
2024-05-23,16005
2024-05-24,14532
2024-05-25,8658
2024-05-26,8369
2024-05-27,15243
2024-05-28,17541
2024-05-29,16543
2024-05-30,16110
2024-05-31,15477
2024-06-01,8230
2024-06-02,7770
2024-06-03,16612
2024-06-04,18229
2024-06-05,17670
2024-06-06,16992
2024-06-07,14781
2024-06-08,8503
2024-06-09,8397
2024-06-10,18485
2024-06-11,17204
2024-06-12,16529
2024-06-13,18989
2024-06-14,14635
2024-06-15,8843
2024-06-16,7970
2024-06-17,16205
2024-06-18,18576
2024-06-19,17237
2024-06-20,16781
2024-06-21,15328
2024-06-22,8118
2024-06-23,8196
2024-06-24,17266
2024-06-25,16569
2024-06-26,17858
2024-06-27,16338
2024-06-28,14707
2024-06-29,7898
2024-06-30,8126
2024-07-01,16671
2024-07-02,16285
2024-07-03,16413
2024-07-04,16076
2024-07-05,13745
2024-07-06,8419
2024-07-07,7851
2024-07-08,15588
2024-07-09,17680
2024-07-10,17855
2024-07-11,16242
2024-07-12,14182
2024-07-13,8658
2024-07-14,7757
2024-07-15,16090
2024-07-16,16386
2024-07-17,16104
2024-07-18,15604
2024-07-19,14557
2024-07-20,8938
2024-07-21,7580
2024-07-22,15406
2024-07-23,16115
2024-07-24,17211
2024-07-25,15763
2024-07-26,14306
2024-07-27,8290
2024-07-28,7582
2024-07-29,16813
2024-07-30,16740
2024-07-31,18257
2024-08-01,15686
2024-08-02,14461
2024-08-03,8624
2024-08-04,8194
2024-08-05,14819
2024-08-06,17334
2024-08-07,16547
2024-08-08,15405
2024-08-09,13097
2024-08-10,8570
2024-08-11,8482
2024-08-12,15304
2024-08-13,16919
2024-08-14,16709
2024-08-15,15727
2024-08-16,15196
2024-08-17,8340
2024-08-18,8287
2024-08-19,15710
2024-08-20,15030
2024-08-21,15962
2024-08-22,14505
2024-08-23,13957
2024-08-24,8850
2024-08-25,7731
2024-08-26,15669
2024-08-27,15233
2024-08-28,15168
2024-08-29,15072
2024-08-30,13622
2024-08-31,8532
2024-09-01,7584
2024-09-02,15866
2024-09-03,14967
2024-09-04,15712
2024-09-05,14651
2024-09-06,15037
2024-09-07,7775
2024-09-08,7594
2024-09-09,14765
2024-09-10,15514
2024-09-11,14658
2024-09-12,14424
2024-09-13,13208
2024-09-14,7383
2024-09-15,7931
2024-09-16,14623
2024-09-17,14857
2024-09-18,15314
2024-09-19,14813
2024-09-20,13845
2024-09-21,7803
2024-09-22,7057
2024-09-23,14927
2024-09-24,15412
2024-09-25,15739
2024-09-26,14983
2024-09-27,13415
2024-09-28,8361
2024-09-29,7665
2024-09-30,16294
2024-10-01,16526
2024-10-02,15829
2024-10-03,14881
2024-10-04,12929
2024-10-05,8214
2024-10-06,7043
2024-10-07,15256
2024-10-08,16358
2024-10-09,15373
2024-10-10,13831
2024-10-11,12636
2024-10-12,7872
2024-10-13,7627
2024-10-14,15981
2024-10-15,15503
2024-10-16,15109
2024-10-17,14959
2024-10-18,13500
2024-10-19,8170
2024-10-20,7613
2024-10-21,15455
2024-10-22,15515
2024-10-23,15679
2024-10-24,14478
2024-10-25,12397
2024-10-26,8349
2024-10-27,6773
2024-10-28,14409
2024-10-29,16482
