area,perimeter,major_axis,minor_axis,eccentricity,convex_area,extent,variety
54938,836.48,303.09,230.79,0.6482,55071,0.6831,keswani
70959,1059.9,451.1,200.28,0.896,72181,0.7069,besni
53094,823.06,308.29,219.28,0.7029,54068,0.7459,keswani
76966,1036.63,399.94,245.03,0.7903,77427,0.7643,besni
70204,952.3,351.26,254.48,0.6893,72520,0.6992,keswani
59228,994.62,425.23,177.34,0.9089,60107,0.715,besni
60396,905.97,344.57,223.17,0.7619,60714,0.7366,keswani
97246,1270.54,532.11,232.69,0.8993,98966,0.7292,besni
53654,920,381.87,178.9,0.8835,55127,0.7123,keswani
78577,1093.36,450.53,222.07,0.8701,79155,0.7617,besni
53778,857.94,323.61,211.59,0.7566,53813,0.6189,keswani
96749,1182.65,471.12,261.47,0.8318,97940,0.7065,besni
63373,919.52,348.05,231.83,0.7459,63500,0.7138,keswani
84133,1073.26,426.84,250.97,0.8089,86101,0.6358,besni
54448,884.22,373.23,185.75,0.8674,54604,0.6471,keswani
61292,987.15,411.52,189.64,0.8875,62789,0.7116,besni
58988,907.66,371.72,202.05,0.8394,59499,0.6589,keswani
108140,1206.17,413.24,333.19,0.5915,111073,0.678,besni
70783,994.57,391.32,230.31,0.8085,71484,0.5881,keswani
82133,1177.34,513.86,203.51,0.9182,82987,0.6887,besni
63783,908.39,348.4,233.1,0.7432,64871,0.7048,keswani
132245,1378.6,535.93,314.18,0.8101,133296,0.706,besni
56480,884.18,345.88,207.91,0.7992,57025,0.694,keswani
119165,1378.66,583.08,260.21,0.8949,119273,0.6981,besni
60749,897.47,352.41,219.49,0.7824,60866,0.6339,keswani
75531,1030.78,422.23,227.76,0.842,76175,0.6513,besni
52898,878.75,368.55,182.75,0.8684,53753,0.7113,keswani
87717,1155.72,477.55,233.87,0.8719,88363,0.6845,besni
44324,777.31,297.86,189.47,0.7716,45300,0.8023,keswani
78496,1065.36,436.12,229.17,0.8508,78706,0.7124,besni
53188,883.55,354.07,191.26,0.8416,54239,0.6834,keswani
102161,1254.12,549.43,236.74,0.9024,102450,0.6525,besni
72868,1020.07,406.09,228.47,0.8267,73292,0.6413,keswani
81512,1064.03,403.91,256.95,0.7716,81953,0.6771,besni
55958,844.44,312.93,227.68,0.686,56532,0.7368,keswani
63550,933.95,380.61,212.59,0.8295,64298,0.7787,besni
55882,865,314.74,226.07,0.6958,56270,0.6203,keswani
78096,1117.74,474.74,209.45,0.8974,79687,0.6454,besni
70932,989.29,374.29,241.3,0.7645,71298,0.6784,keswani
54123,888.98,361.96,190.38,0.8505,55272,0.7417,besni
77435,1003.57,400.21,246.35,0.7881,78254,0.6834,keswani
88731,1114.69,437,258.53,0.8062,89440,0.6876,besni
56519,882.93,354.95,202.74,0.8208,57161,0.7444,keswani
84690,1139.28,470.77,229.05,0.8737,85059,0.6844,besni
67954,945.62,345.84,250.18,0.6904,68306,0.6581,keswani
76755,1029.04,404.29,241.73,0.8016,77605,0.7062,besni
55750,885.99,358.82,197.82,0.8343,56394,0.6511,keswani
89854,1147.36,469.66,243.59,0.855,90668,0.6516,besni
68207,935.38,347.25,250.09,0.6938,70328,0.7431,keswani
81256,1041.05,407.39,253.95,0.7819,81984,0.7842,besni
75715,1047.1,415.82,231.84,0.8302,75911,0.6743,keswani
79723,1116.7,473.41,214.42,0.8916,81660,0.6506,besni
63906,959.11,382.45,212.75,0.831,64593,0.749,keswani
94121,1158.5,473.78,252.94,0.8456,94581,0.7407,besni
44914,788.17,315.87,181.05,0.8194,45432,0.6952,keswani
75946,1062.38,440.37,219.58,0.8668,76953,0.6978,besni
52671,848.02,342.63,195.73,0.8208,52845,0.7621,keswani
90082,1200.87,501.22,228.84,0.8897,92384,0.6688,besni
55882,902.2,346.73,205.2,0.8061,56590,0.6418,keswani
96826,1258.7,536.03,229.99,0.9033,97477,0.6671,besni
69752,973.26,370.67,239.6,0.763,69929,0.7374,keswani
115670,1276.25,514.8,286.08,0.8314,117067,0.6126,besni
60464,927.67,384.14,200.41,0.8531,61507,0.771,keswani
104850,1241.35,503.06,265.37,0.8495,105029,0.6897,besni
56119,884.12,347.4,205.68,0.8059,56892,0.7559,keswani
107032,1252.73,510.08,267.17,0.8519,107229,0.7309,besni
49175,852.51,342.14,183,0.8449,50194,0.7833,keswani
72337,1021.21,424.03,217.21,0.8588,73884,0.7723,besni
48850,824.2,322.28,192.99,0.8009,49883,0.6235,keswani
93022,1172.23,476.96,248.32,0.8538,94478,0.6864,besni
58918,891.69,325.8,230.25,0.7075,59636,0.7001,keswani
70660,1052.82,449.39,200.2,0.8953,72231,0.759,besni
53871,842.34,326.91,209.82,0.7669,54714,0.6812,keswani
96620,1153.15,470.1,261.69,0.8307,96996,0.6792,besni
59038,899.22,344.09,218.46,0.7726,59209,0.7721,keswani
93167,1124.22,418.15,283.69,0.7347,93389,0.6638,besni
80132,1069.7,431.41,236.5,0.8363,82070,0.7429,keswani
40384,770.17,306.98,167.5,0.838,41211,0.6743,besni
56570,851,306.6,234.92,0.6426,56908,0.6617,keswani
82488,1055.27,401.52,261.57,0.7587,83294,0.6952,besni
56894,870.27,329.38,219.93,0.7444,56966,0.6584,keswani
95899,1160.73,467.75,261.04,0.8298,96549,0.7087,besni
54794,850.09,299.71,232.78,0.6299,55602,0.69,keswani
86471,1208.63,518.44,212.36,0.9123,88655,0.7497,besni
59428,891.4,336.06,225.16,0.7424,60397,0.6975,keswani
119801,1346.21,541.85,281.51,0.8545,121999,0.7385,besni
61346,929.49,354.93,220.07,0.7846,61785,0.6966,keswani
81605,1148.19,486.51,213.57,0.8985,82368,0.8185,besni
56275,866.25,306.29,233.94,0.6455,56287,0.677,keswani
98433,1187.23,475.17,263.76,0.8318,99095,0.6984,besni
50952,840.16,309.81,209.4,0.737,52588,0.7024,keswani
95350,1193.08,470.66,257.94,0.8365,96210,0.7844,besni
57359,882.57,337.95,216.1,0.7688,57979,0.7263,keswani
65546,947.54,377.17,221.27,0.8098,66749,0.6075,besni
57726,902.61,356.19,206.35,0.8151,59338,0.5255,keswani
83462,1113.35,455.95,233.07,0.8595,84804,0.667,besni
59764,901.38,359.27,211.8,0.8077,61322,0.7061,keswani
92089,1161.97,472.71,248.04,0.8513,92931,0.7269,besni
69242,945.57,369.34,238.7,0.7631,70709,0.7725,keswani
87662,1115.65,443.19,251.84,0.8229,89487,0.7314,besni
63320,937.05,355.45,226.81,0.77,64900,0.7284,keswani
84791,1109.68,448.22,240.86,0.8433,86225,0.7079,besni
57652,878.64,322.62,227.53,0.7089,58221,0.7035,keswani
65821,971.08,392.71,213.4,0.8395,67235,0.6084,besni
55854,917.65,372.49,190.92,0.8587,56513,0.6975,keswani
79652,1132.22,481.66,210.56,0.8994,80303,0.6288,besni
49197,805.04,292.58,214.1,0.6815,50315,0.6991,keswani
73574,1034.58,424.05,220.91,0.8536,73718,0.761,besni
51343,849.58,322.84,202.49,0.7788,52348,0.6461,keswani
76240,1058.42,437.87,221.69,0.8624,76265,0.7066,besni
63331,923.62,351.61,229.33,0.758,64146,0.6166,keswani
83820,1177.44,487.64,218.86,0.8936,84177,0.6064,besni
66435,987.34,394.25,214.55,0.839,68500,0.6164,keswani
110622,1222.08,477.98,294.67,0.7874,111645,0.6917,besni
56953,853.33,299.44,242.17,0.5882,57754,0.7574,keswani
117129,1304.12,535.73,278.37,0.8544,118126,0.6867,besni
44036,776.99,295.55,189.71,0.7668,44742,0.688,keswani
115447,1324.77,541.46,271.47,0.8652,117746,0.7321,besni
57409,854.38,290.18,251.9,0.4964,57530,0.7679,keswani
78010,1093.82,455.56,218.03,0.878,78022,0.6737,besni
63220,929.23,374.75,214.79,0.8194,64982,0.7524,keswani
74369,1077.24,443.32,213.59,0.8763,74863,0.7075,besni
56661,882.33,337.68,213.64,0.7744,57400,0.6313,keswani
82098,1069.72,423.7,246.71,0.813,83557,0.7106,besni
70056,987.74,400.64,222.64,0.8314,71561,0.7083,keswani
83711,1095.13,440.35,242.05,0.8354,85092,0.5977,besni
67685,1047.26,442.81,194.62,0.8982,68446,0.6447,keswani
96213,1173.48,485.01,252.58,0.8537,98135,0.6617,besni
56418,896.31,352.88,203.57,0.8168,57236,0.6981,keswani
98244,1241.97,517.49,241.72,0.8842,98635,0.6798,besni
71536,973.95,347.11,262.4,0.6546,72035,0.6612,keswani
79866,1047.2,411.65,247.03,0.7999,80928,0.6913,besni
63436,925.52,352.77,228.95,0.7608,64559,0.7639,keswani
104362,1232.48,498.43,266.59,0.8449,105847,0.8053,besni
64858,948.57,367.89,224.47,0.7923,66000,0.6513,keswani
93399,1206.23,497.71,238.93,0.8772,95976,0.6823,besni
61304,925.56,354.21,220.36,0.7829,62194,0.7047,keswani
82816,1093.44,436.86,241.37,0.8335,84519,0.6772,besni
69958,1030.45,421.81,211.17,0.8657,71490,0.6488,keswani
95187,1228.31,508.63,238.28,0.8835,96008,0.672,besni
61572,915.67,351.18,223.23,0.772,61899,0.676,keswani
94803,1137.41,434.63,277.72,0.7692,95607,0.6292,besni
73172,1005.98,399.9,232.97,0.8128,74306,0.7082,keswani
86288,1084.3,420.3,261.4,0.7831,88239,0.616,besni
63487,947.58,362.64,222.9,0.7888,64825,0.8259,keswani
112200,1259.88,514.31,277.77,0.8416,113679,0.6918,besni
67993,910.76,301.5,287.14,0.3049,69439,0.6681,keswani
102019,1194.56,462.89,280.62,0.7953,103780,0.7557,besni
81995,1059.76,412.64,253,0.79,82811,0.6663,keswani
109947,1297.04,546.79,256.02,0.8836,112496,0.7275,besni
72937,1014.66,397.27,233.76,0.8086,73945,0.6715,keswani
110681,1294.68,554.79,254.01,0.889,111179,0.8124,besni
59922,911.64,355.04,214.89,0.796,60664,0.718,keswani
70938,1062.59,454.01,198.94,0.8989,72035,0.7081,besni
68784,989.03,394.38,222.07,0.8264,70534,0.7631,keswani
73194,1080.1,447.75,208.14,0.8854,74019,0.6654,besni
47068,812.89,330.71,181.21,0.8365,47975,0.7731,keswani
87420,1082.45,421.59,264.01,0.7796,88147,0.7539,besni
68986,986.61,395.57,222.05,0.8276,68999,0.6947,keswani
86842,1122.82,465.96,237.3,0.8606,88021,0.7001,besni
54099,909.62,370.84,185.75,0.8655,54183,0.596,keswani
82731,1161.85,482.58,218.28,0.8919,84155,0.7254,besni
62722,935.35,357.75,223.23,0.7814,62985,0.6192,keswani
93808,1136.97,447.08,267.16,0.8018,96035,0.7521,besni
52960,855.43,313.63,215,0.728,54138,0.7441,keswani
76254,1048.27,428.61,226.52,0.8489,77525,0.6492,besni
53286,872.54,350.62,193.5,0.8339,53308,0.6589,keswani
71197,1001.79,409.06,221.61,0.8405,72375,0.7169,besni
52874,848.3,316.28,212.85,0.7397,53145,0.6086,keswani
87659,1130.75,442.88,252.01,0.8223,88440,0.665,besni
70666,955.22,327.57,274.68,0.5449,71503,0.5854,keswani
98434,1178.48,478,262.2,0.8361,99969,0.7261,besni
71767,1002.34,402.98,226.76,0.8267,71937,0.7307,keswani
113407,1269.66,484.97,297.74,0.7894,114843,0.7013,besni
63526,901.7,350.88,230.52,0.7539,65077,0.6742,keswani
111864,1303.89,560.96,253.9,0.8917,112170,0.6877,besni
49682,887.97,375.79,168.33,0.8941,50859,0.781,keswani
111666,1321.34,565.83,251.27,0.896,113675,0.6699,besni
58721,927.62,366.11,204.22,0.83,59666,0.7553,keswani
96734,1199.66,483.81,254.58,0.8504,99135,0.6911,besni
56117,863.17,328.64,217.42,0.7499,56737,0.6601,keswani
108274,1233.39,487.7,282.67,0.8149,108881,0.7225,besni
39278,753.66,287.34,174.05,0.7957,39971,0.7826,keswani
82453,1157.33,483.85,216.97,0.8938,83135,0.6387,besni
67221,940.56,345.27,247.89,0.6961,68320,0.7382,keswani
101665,1297.58,555.8,232.9,0.908,103180,0.7134,besni
57977,899.76,359.17,205.53,0.8201,59308,0.6817,keswani
101585,1305.99,562.94,229.76,0.9129,102783,0.6808,besni
44603,792.18,315.27,180.14,0.8207,45579,0.6182,keswani
93782,1160.6,478.02,249.8,0.8526,94915,0.6568,besni
57525,926.61,369.03,198.48,0.843,58597,0.7045,keswani
92635,1146.58,460.07,256.37,0.8304,93537,0.7101,besni
63829,911.22,345.68,235.1,0.7331,65045,0.7776,keswani
90164,1201.29,513.64,223.5,0.9004,90849,0.754,besni
73857,1004.87,401.19,234.4,0.8116,74810,0.6854,keswani
52267,874.92,356.86,186.48,0.8526,53247,0.6085,besni
51247,820.3,308.56,211.46,0.7282,52405,0.7427,keswani
95734,1264.74,541.71,225.02,0.9096,97003,0.6647,besni
69200,974.23,374.43,235.31,0.7778,70345,0.6454,keswani
59658,937.19,387.93,195.81,0.8633,60374,0.6643,besni
67011,923.22,363.16,234.94,0.7625,68072,0.6869,keswani
107415,1271.38,544.36,251.24,0.8871,108840,0.7019,besni
64089,915.06,345.83,235.96,0.7311,64306,0.6784,keswani
102658,1264.87,525.17,248.89,0.8806,104680,0.6288,besni
59061,900.56,345.36,217.74,0.7762,59815,0.6386,keswani
93956,1197.53,496.9,240.75,0.8748,95279,0.7104,besni
66973,966.83,394.24,216.3,0.8361,67831,0.782,keswani
82346,1066.05,423.46,247.6,0.8113,83013,0.6728,besni
58074,881.07,327.33,225.9,0.7237,58448,0.777,keswani
70091,997.78,401.8,222.11,0.8333,71446,0.7498,besni
42887,751.54,301.56,181.07,0.7997,43321,0.6926,keswani
79979,1064.99,428.06,237.89,0.8313,80732,0.645,besni
64996,913.76,338,244.84,0.6894,65630,0.7373,keswani
49745,862.19,349.64,181.15,0.8553,50564,0.6986,besni
67807,970.99,377.05,228.97,0.7945,67950,0.8071,keswani
98898,1194.79,496.48,253.63,0.8597,99003,0.7173,besni
65396,993.06,401.53,207.37,0.8563,66527,0.6668,keswani
96926,1224.08,504.87,244.44,0.875,99179,0.6098,besni
61273,909.49,345.15,226.03,0.7557,62111,0.6238,keswani
88048,1153.78,478.48,234.3,0.8719,89549,0.7018,besni
66100,920.69,340.99,246.81,0.69,66786,0.6654,keswani
84520,1124.1,455.34,236.34,0.8547,86672,0.7152,besni
47022,785.17,304.97,196.32,0.7653,47611,0.7551,keswani
85154,1078.91,426.92,253.96,0.8038,85331,0.6676,besni
51359,817.64,294.21,222.26,0.6552,52375,0.7013,keswani
108456,1261.17,515.65,267.8,0.8546,108955,0.6651,besni
53565,906.47,371.84,183.42,0.8699,54273,0.6928,keswani
103963,1231.47,492.74,268.64,0.8383,106385,0.5967,besni
53855,888.63,360.95,189.97,0.8503,54451,0.6745,keswani
99067,1185.1,471.18,267.7,0.8229,100771,0.7328,besni
65569,949.84,374.08,223.17,0.8025,66356,0.5779,keswani
73689,1036.57,405.23,231.53,0.8207,74107,0.6566,besni
50183,831.23,340.53,187.64,0.8345,51139,0.6685,keswani
51714,865.52,337.75,194.95,0.8166,52064,0.6794,besni
60908,933.92,370.43,209.35,0.825,61075,0.6705,keswani
71510,1073.89,440.74,206.58,0.8834,72389,0.7253,besni
71732,1018.63,411.64,221.87,0.8423,72229,0.7091,keswani
114963,1339.24,559.56,261.59,0.884,116102,0.6793,besni
75539,1006.3,385.4,249.56,0.762,76748,0.6807,keswani
128311,1291.92,513.92,317.89,0.7857,128602,0.664,besni
62659,954.4,386.03,206.67,0.8446,63088,0.7583,keswani
88059,1132.7,467.01,240.08,0.8577,89165,0.7544,besni
63601,957.45,388.49,208.44,0.8439,65011,0.7511,keswani
90136,1168.57,481.44,238.38,0.8688,90696,0.7199,besni
61072,890.74,335.75,231.6,0.724,61895,0.7342,keswani
84247,1104.86,451.68,237.48,0.8506,86256,0.6912,besni
52240,842.14,328.88,202.24,0.7886,53334,0.6878,keswani
76006,1021.74,395.9,244.44,0.7866,77169,0.7419,besni
52434,817.23,293.63,227.37,0.6328,52632,0.7531,keswani
94447,1221.92,511.56,235.07,0.8882,97194,0.7217,besni
54548,839.03,303.49,228.84,0.6568,55630,0.6582,keswani
88822,1175.47,495.96,228.03,0.888,90482,0.7285,besni
68348,981.1,403.91,215.46,0.8458,68460,0.7923,keswani
83903,1173.08,497.86,214.58,0.9024,84636,0.709,besni
60808,897.57,333.48,232.17,0.7178,62035,0.7175,keswani
80106,1047.98,423.34,240.93,0.8223,80372,0.6591,besni
48195,844.37,345.26,177.73,0.8573,49108,0.6541,keswani
65823,962.82,399.51,209.78,0.8511,66477,0.7546,besni
63373,920.6,338.26,238.54,0.709,64047,0.7955,keswani
68478,1009.64,427.92,203.75,0.8794,69551,0.6242,besni
75850,1050.63,432.01,223.55,0.8557,77656,0.7439,keswani
107097,1295.24,522.92,260.77,0.8668,108458,0.7113,besni
85289,1101.87,448.46,242.14,0.8417,85634,0.7812,keswani
71071,1094.06,476.17,190.04,0.9169,72660,0.7603,besni
73028,1022.49,410.63,226.44,0.8342,73792,0.6385,keswani
77709,1076.19,441.33,224.19,0.8614,77872,0.7294,besni
83721,1050.5,396.89,268.58,0.7362,83962,0.7746,keswani
92791,1244.76,540.01,218.79,0.9142,95107,0.7606,besni
63329,925.29,363.91,221.58,0.7933,64339,0.6733,keswani
57304,919.65,385.5,189.27,0.8712,58634,0.7167,besni
57473,902.35,350.64,208.69,0.8036,58832,0.7737,keswani
111813,1286.49,528.57,269.34,0.8604,113614,0.6805,besni
55052,828.61,300.75,233.07,0.632,55420,0.7444,keswani
59968,958.99,403.51,189.22,0.8832,60546,0.6662,besni
79309,1035.48,395.73,255.17,0.7643,81647,0.6791,keswani
107030,1224.63,474.18,287.39,0.7954,109351,0.6454,besni
67006,943.94,352.64,241.93,0.7275,69231,0.7698,keswani
89699,1160.99,479.98,237.94,0.8685,91126,0.7099,besni
67757,980.04,388.51,222.06,0.8206,69806,0.6247,keswani
98064,1209.73,487.79,255.97,0.8513,100726,0.7097,besni
49917,831.75,303.98,209.08,0.7259,50033,0.64,keswani
111554,1319.45,559.94,253.66,0.8915,113649,0.7648,besni
64161,912.73,299.72,272.57,0.4159,64626,0.653,keswani
119040,1366.69,587.98,257.77,0.8988,120052,0.6607,besni
56428,880.16,347.52,206.74,0.8038,56604,0.6673,keswani
88718,1180.78,495.1,228.15,0.8875,89159,0.6979,besni
64338,992.5,411.87,198.89,0.8757,65709,0.7201,keswani
123733,1422.26,613.3,256.87,0.9081,124266,0.6986,besni
59934,901.63,335.48,227.46,0.735,60004,0.7764,keswani
80708,1047.49,416.09,246.97,0.8048,82186,0.7067,besni
59675,920.03,373.31,203.53,0.8383,60526,0.6136,keswani
117198,1303.67,532.14,280.42,0.8499,117835,0.6839,besni
51850,870.59,343.81,192.02,0.8295,52295,0.7152,keswani
103434,1270.55,549.91,239.49,0.9002,106218,0.7069,besni
60429,909.06,361.16,213.04,0.8075,60837,0.7399,keswani
91584,1217.16,519.73,224.36,0.902,92644,0.6263,besni
65728,982.3,392.88,213.01,0.8403,66976,0.5901,keswani
