model_id,engine_litres,weight_kg,power_kw,cylinders,city_kpl
V123,1.1,1230,74,4,18.82
V124,2.7,1709,145,6,15.87
V125,3.9,1805,216,8,14.84
V126,3.3,1734,176,8,15.4
V127,3.9,2121,202,8,12.8
V128,2.9,1651,193,6,17.42
V129,1.6,1395,138,4,20
V130,3.9,1971,219,8,22.49
V131,3.6,1979,207,8,14.11
V132,4.8,2246,228,8,10.1
V133,3.7,1912,168,8,13.23
V134,3.3,1825,169,8,15.7
V135,3.1,1848,178,8,14.25
V136,2.9,1893,205,6,15.83
V137,3.6,1915,154,8,14.7
V138,3.2,1752,171,8,17.48
V139,3.5,1829,187,8,12.72
V140,3.3,1893,185,8,13.2
V141,1.1,926,97,4,21.25
V142,2.3,1615,126,6,15.81
V143,4.7,2100,230,8,12.81
V144,2.1,1279,123,6,17.72
V145,1.9,1302,113,6,17.22
V146,1.2,1060,94,4,18.4
V147,4.6,2066,226,8,12.58
V148,1.7,932,96,4,18.53
V149,3.7,1880,221,8,16.25
V150,3.5,1972,204,8,13.51
V151,1.8,1677,74,6,15.77
V152,1.7,1479,108,4,14.53
V153,3.5,1722,167,8,14.47
V154,2.8,1838,140,6,12.76
V155,4.1,1927,202,8,13.91
V156,2.9,1618,145,6,14.66
V157,4.4,1869,257,8,15.68
V158,4.1,1886,218,8,13.24
V159,2.6,1641,151,6,14.85
V160,2.4,1547,171,6,17.58
V161,4.7,2261,170,8,9.99
V162,4.9,2129,255,8,12.44
V163,4.8,2230,243,8,12.13
V164,2.5,1407,143,6,15.37
V165,1.3,1311,133,4,18.49
V166,2.3,1451,119,6,14.57
V167,2.4,1701,134,6,16.03
V168,4,2004,217,8,14.83
V169,4.5,1980,232,8,9.39
V170,4.9,2206,260,8,13.03
V171,1.6,1287,112,4,19.09
V172,3.5,1597,154,8,13.55
V173,1.7,1553,110,4,25.71
V174,2.9,1701,171,6,14.37
V175,1.8,1348,66,6,14.78
V176,3,1734,183,8,15.37
V177,1.1,893,73,4,19.37
V178,2.6,1623,121,6,13.87
V179,3,1821,158,8,15.76
V180,3.5,1795,157,8,15.53
V181,4.3,2159,227,8,12.16
V182,4.4,1902,262,8,13.34
V183,3.2,1744,148,8,14.19
V184,3.2,1902,177,8,13.82
V185,4.1,1940,200,8,12.91
V186,2.5,1474,150,6,18.32
V187,1.1,1237,76,4,17.58
V188,4.4,2089,231,8,11.42
V189,1.4,1223,80,4,18.46
V190,5,2191,239,8,11.2
V191,3.6,1825,217,8,13.77
V192,3.1,1601,209,8,15.83
V193,3.4,1702,202,8,13.9
V194,3.1,1827,185,8,16.23
V195,1.6,1593,122,4,19.02
V196,4.6,2082,235,8,13.08
V197,3.1,1548,197,8,15.58
V198,4.7,1908,256,8,12.55
V199,3.5,1762,215,8,17.94
V200,3.2,1873,186,8,14.66
V201,1.6,1283,105,4,18.43
V202,1.2,1253,84,4,19.45
V203,2,1258,117,6,18.67
V204,4.1,1913,201,8,14.21
V205,2.8,1642,142,6,13.8
V206,2.1,1583,127,6,15.15
V207,1.8,1268,107,6,18.74
V208,2.4,1368,132,6,17.96
V209,4.4,2029,221,8,11.62
V210,1.6,1316,138,4,19.18
V211,1.3,1272,59,4,17.62
V212,4.8,1935,244,8,13.29
V213,4.2,2027,218,8,12.56
V214,3.7,1796,228,8,13.06
V215,2.2,1475,130,6,15
V216,4,1767,237,8,22.24
V217,2.2,1496,143,6,16.58
V218,4,1919,217,8,14.4
V219,2.4,1508,139,6,16.81
V220,1.7,1378,80,4,15.44
V221,2.6,1481,140,6,16.6
V222,3.3,1608,161,8,14.57
V223,2.8,1406,170,6,17.63
V224,2.6,1441,140,6,15.31
V225,4.7,2119,249,8,11.49
V226,3.8,2135,223,8,12.76
V227,1,1037,89,4,19.57
V228,2.5,1297,165,6,19.2
V229,3.7,1775,158,8,13.06
V230,2.2,1373,117,6,16.43
V231,3.7,2121,183,8,11.28
V232,2.3,1387,129,6,16.2
V233,4.5,1791,235,8,12.86
V234,2,1508,117,6,16.69
V235,1.8,1216,107,6,19.44
V236,2.5,1425,162,6,16.93
V237,4.9,2065,243,8,11.09
V238,3.6,1997,179,8,12.47
V239,2.2,1310,140,6,16.56
V240,2.1,1336,122,6,18.26
V241,2,1419,111,6,17.49
V242,1.7,1361,100,4,17.4
V243,4.4,1746,192,8,12.49
V244,4.5,2034,231,8,13.53
V245,3.3,1765,164,8,13.4
V246,2.6,1488,159,6,16.58
V247,4.5,2133,232,8,11.82
V248,4,2021,232,8,12.35
V249,1.7,1185,106,4,16.04
V250,2.2,1507,145,6,17.93
V251,4.6,1998,222,8,11.71
V252,4.5,2039,208,8,10.18
V253,4.8,2107,261,8,11.55
V254,4.7,2057,239,8,12.96
V255,2.1,1574,121,6,17.92
V256,4.2,2020,186,8,12.54
V257,3.3,1660,159,8,15.63
V258,1.1,1084,76,4,17.62
V259,1.5,1224,95,4,27.98
V260,4.7,2105,267,8,12.15
