payment_id,date,vendor,category,amount
P00056,2024-06-05,"Gilder Travel",facilities,5596.24
P00057,2024-09-25,"Corvin Media",logistics,122746.5
P00058,2024-07-09,"Delvin Facilities",materials,41.34
P00059,2024-12-25,"Ember IT",materials,9287.6
P00060,2024-08-08,"Gilder Travel",logistics,370.97
P00061,2024-06-04,"Gilder Travel",services,48.01
P00062,2024-05-03,"Ember IT",services,9555.06
P00063,2024-06-11,"Fenwick Legal",facilities,21080.4
P00064,2024-06-28,"Harlow Print",logistics,4052.6
P00065,2024-01-07,"Ember IT",services,9914.84
P00066,2024-09-23,"Delvin Facilities",software,7357.8
P00067,2024-05-07,"Harlow Print",software,61.09
P00068,2024-01-29,"Fenwick Legal",logistics,23.83
P00069,2024-07-07,"Brant Logistics",logistics,2684.83
P00070,2024-03-02,"Delvin Facilities",materials,6907.3
P00071,2024-08-28,"Brant Logistics",facilities,1848.35
P00072,2024-08-07,"Brant Logistics",materials,241.73
P00073,2024-09-15,"Fenwick Legal",materials,90.09
P00074,2024-02-25,"Brant Logistics",services,116.78
P00075,2024-03-20,"Ember IT",materials,137496.31
P00076,2024-03-12,"Fenwick Legal",services,182624.9
P00077,2024-10-26,"Fenwick Legal",software,1934.88
P00078,2024-10-21,"Alder Supply",logistics,168699.41
P00079,2024-06-28,"Gilder Travel",software,133432.26
P00080,2024-05-27,"Harlow Print",materials,255.72
P00081,2024-10-28,"Harlow Print",facilities,118230.92
P00082,2024-02-03,"Brant Logistics",software,5615.28
P00083,2024-11-29,"Harlow Print",services,9464.28
P00084,2024-04-09,"Brant Logistics",services,1344.51
P00085,2024-04-15,"Ember IT",materials,9971.41
P00086,2024-08-16,"Corvin Media",logistics,13531.92
P00087,2024-12-07,"Fenwick Legal",logistics,988.04
P00088,2024-09-19,"Fenwick Legal",facilities,293.59
P00089,2024-12-11,"Harlow Print",services,343.59
P00090,2024-10-25,"Fenwick Legal",services,2964.87
P00091,2024-06-14,"Alder Supply",logistics,7201.49
P00092,2024-11-12,"Alder Supply",software,9880.28
P00093,2024-02-02,"Corvin Media",software,5023.38
P00094,2024-03-30,"Delvin Facilities",materials,140584.76
P00095,2024-04-23,"Ember IT",services,9449.45
P00096,2024-10-21,"Fenwick Legal",logistics,3744.94
P00097,2024-03-02,"Delvin Facilities",software,70932.35
P00098,2024-01-12,"Harlow Print",facilities,65987.01
P00099,2024-02-27,"Fenwick Legal",software,773.95
P00100,2024-04-18,"Corvin Media",services,1394.25
P00101,2024-02-14,"Ember IT",materials,237.74
P00102,2024-01-13,"Harlow Print",facilities,73892.02
P00103,2024-02-26,"Corvin Media",logistics,19559.56
P00104,2024-07-26,"Gilder Travel",services,8537.57
P00105,2024-07-28,"Brant Logistics",logistics,160445.77
P00106,2024-05-10,"Delvin Facilities",software,120.09
P00107,2024-05-18,"Delvin Facilities",software,2055.09
P00108,2024-04-18,"Ember IT",logistics,298.93
P00109,2024-09-14,"Fenwick Legal",materials,41652.83
P00110,2024-10-14,"Delvin Facilities",services,4431.1
P00111,2024-04-03,"Alder Supply",services,1766.38
P00112,2024-05-08,"Fenwick Legal",software,14216.23
P00113,2024-02-20,"Corvin Media",facilities,41272.55
P00114,2024-06-09,"Fenwick Legal",services,113449.5
P00115,2024-08-29,"Brant Logistics",services,4097.54
P00116,2024-08-20,"Corvin Media",services,985.26
P00117,2024-05-25,"Ember IT",facilities,58.37
P00118,2024-08-31,"Brant Logistics",facilities,79.21
P00119,2024-05-29,"Delvin Facilities",facilities,12448.44
P00120,2024-03-18,"Fenwick Legal",facilities,928.12
P00121,2024-11-15,"Delvin Facilities",materials,147949.76
P00122,2024-01-29,"Harlow Print",software,20431.44
P00123,2024-12-29,"Brant Logistics",materials,2127.84
P00124,2024-04-16,"Brant Logistics",facilities,2068.53
P00125,2024-04-25,"Alder Supply",facilities,53578.85
P00126,2024-06-01,"Harlow Print",materials,262.14
P00127,2024-01-26,"Harlow Print",facilities,56.1
P00128,2024-03-15,"Ember IT",services,9300.16
P00129,2024-06-30,"Delvin Facilities",services,3543.64
P00130,2024-07-23,"Brant Logistics",services,62886.59
P00131,2024-09-17,"Corvin Media",services,211.26
P00132,2024-03-13,"Alder Supply",services,52.73
P00133,2024-06-13,"Corvin Media",facilities,23.51
P00134,2024-01-06,"Brant Logistics",materials,27739.05
P00135,2024-03-22,"Ember IT",materials,20.09
P00136,2024-07-26,"Harlow Print",services,35321.75
P00137,2024-10-17,"Alder Supply",facilities,156184.42
P00138,2024-09-15,"Ember IT",software,9388.65
P00139,2024-03-17,"Delvin Facilities",materials,128751.54
P00140,2024-07-29,"Fenwick Legal",facilities,1699.55
P00141,2024-08-03,"Gilder Travel",facilities,175.09
P00142,2024-09-02,"Alder Supply",facilities,2798.11
P00143,2024-10-05,"Delvin Facilities",materials,320.1
P00144,2024-10-12,"Harlow Print",software,157.08
P00145,2024-07-18,"Gilder Travel",materials,44309.59
P00146,2024-05-06,"Ember IT",logistics,37.71
P00147,2024-08-18,"Harlow Print",software,473.55
P00148,2024-03-20,"Fenwick Legal",software,614.66
P00149,2024-08-08,"Delvin Facilities",facilities,15634.02
P00150,2024-11-02,"Delvin Facilities",materials,111.81
P00151,2024-08-25,"Alder Supply",logistics,19787.1
P00152,2024-12-09,"Ember IT",materials,4444.3
P00153,2024-06-04,"Harlow Print",services,148.51
P00154,2024-08-21,"Gilder Travel",services,4621.59
P00155,2024-08-08,"Delvin Facilities",software,51280.41
P00156,2024-12-26,"Brant Logistics",software,7352.09
P00157,2024-03-26,"Gilder Travel",logistics,165.1
P00158,2024-07-05,"Alder Supply",services,5778.34
P00159,2024-11-18,"Harlow Print",services,26.86
P00160,2024-03-16,"Gilder Travel",services,63.21
P00161,2024-04-04,"Corvin Media",logistics,653.44
P00162,2024-07-31,"Corvin Media",software,1323.11
P00163,2024-06-29,"Alder Supply",services,104940.4
P00164,2024-02-14,"Delvin Facilities",logistics,16311.29
P00165,2024-07-03,"Fenwick Legal",materials,24030.97
P00166,2024-07-24,"Corvin Media",materials,640.44
P00167,2024-02-09,"Ember IT",software,9101.03
P00168,2024-03-25,"Alder Supply",services,199.53
P00169,2024-05-17,"Fenwick Legal",materials,163.34
P00170,2024-01-11,"Fenwick Legal",facilities,231.42
P00171,2024-10-20,"Brant Logistics",services,8499.49
P00172,2024-06-21,"Delvin Facilities",facilities,115515.6
P00173,2024-03-17,"Brant Logistics",services,1864.14
P00174,2024-10-06,"Brant Logistics",logistics,327.97
P00175,2024-12-13,"Ember IT",logistics,9957.51
P00176,2024-09-17,"Fenwick Legal",software,108158.1
P00177,2024-05-11,"Fenwick Legal",services,829.48
P00178,2024-06-21,"Fenwick Legal",software,613.21
P00179,2024-08-24,"Alder Supply",software,683.62
P00180,2024-02-21,"Fenwick Legal",materials,8221.33
P00181,2024-03-10,"Brant Logistics",materials,152983.08
P00182,2024-05-14,"Alder Supply",services,2888.43
P00183,2024-04-09,"Delvin Facilities",services,131.71
P00184,2024-04-26,"Brant Logistics",logistics,906.99
P00185,2024-12-20,"Corvin Media",services,36.17
P00186,2024-08-11,"Brant Logistics",software,68.61
P00187,2024-03-29,"Gilder Travel",services,12832.98
P00188,2024-10-14,"Gilder Travel",materials,130.2
P00189,2024-01-18,"Harlow Print",software,1428.67
P00190,2024-07-28,"Fenwick Legal",services,1608.45
P00191,2024-07-19,"Brant Logistics",software,9626.84
P00192,2024-12-06,"Alder Supply",services,4013.64
P00193,2024-06-05,"Brant Logistics",services,83984.17
P00194,2024-03-21,"Corvin Media",facilities,5181.47
P00195,2024-06-15,"Corvin Media",logistics,4021.8
P00196,2024-01-21,"Delvin Facilities",logistics,99.23
P00197,2024-07-26,"Ember IT",materials,9653.19
P00198,2024-03-28,"Fenwick Legal",facilities,35913.19
P00199,2024-03-26,"Harlow Print",services,96.44
P00200,2024-12-14,"Delvin Facilities",services,11793.02
P00201,2024-06-14,"Alder Supply",facilities,85219.58
P00202,2024-02-05,"Brant Logistics",services,37566.7
P00203,2024-01-07,"Harlow Print",logistics,55676.77
P00204,2024-11-06,"Delvin Facilities",materials,178.27
P00205,2024-07-10,"Gilder Travel",software,10097.13
P00206,2024-07-03,"Ember IT",software,9138.88
P00207,2024-08-12,"Ember IT",facilities,85.03
P00208,2024-01-21,"Harlow Print",facilities,34.83
P00209,2024-01-06,"Fenwick Legal",services,32.39
P00210,2024-03-26,"Brant Logistics",logistics,19814.85
P00211,2024-05-22,"Ember IT",services,9237.49
P00212,2024-08-21,"Delvin Facilities",facilities,54605.82
P00213,2024-05-07,"Alder Supply",software,76.58
P00214,2024-07-25,"Ember IT",materials,9516.72
P00215,2024-12-29,"Fenwick Legal",services,41.74
P00216,2024-03-09,"Brant Logistics",materials,32.21
P00217,2024-04-11,"Corvin Media",facilities,686.03
P00218,2024-01-28,"Corvin Media",facilities,95668.39
P00219,2024-01-01,"Harlow Print",materials,158984.57
P00220,2024-05-29,"Harlow Print",logistics,115.02
P00221,2024-03-06,"Delvin Facilities",logistics,350.38
P00222,2024-12-27,"Delvin Facilities",materials,951.07
P00223,2024-04-15,"Brant Logistics",services,7217.32
P00224,2024-03-10,"Ember IT",materials,9593.28
P00225,2024-05-21,"Delvin Facilities",services,486.77
P00226,2024-12-20,"Delvin Facilities",materials,72.16
P00227,2024-03-21,"Alder Supply",services,1204.52
P00228,2024-09-28,"Delvin Facilities",logistics,41245.45
P00229,2024-12-19,"Corvin Media",logistics,166009.82
P00230,2024-09-17,"Alder Supply",services,246.9
P00231,2024-09-26,"Ember IT",facilities,1028.71
P00232,2024-01-12,"Corvin Media",software,7110.74
P00233,2024-01-24,"Alder Supply",logistics,1286.33
P00234,2024-04-03,"Ember IT",logistics,18171.45
P00235,2024-05-11,"Fenwick Legal",facilities,5005.01
P00236,2024-03-08,"Delvin Facilities",logistics,804.89
P00237,2024-01-27,"Alder Supply",software,2860.8
P00238,2024-10-25,"Corvin Media",logistics,6516.35
P00239,2024-04-14,"Gilder Travel",facilities,52402.97
P00240,2024-11-21,"Corvin Media",services,84059.61
P00241,2024-10-31,"Ember IT",software,9394.29
P00242,2024-12-13,"Harlow Print",software,133618.41
P00243,2024-07-28,"Fenwick Legal",software,75.09
P00244,2024-07-15,"Corvin Media",materials,290.41
P00245,2024-12-23,"Brant Logistics",materials,34789.48
P00246,2024-08-28,"Harlow Print",software,48015.57
P00247,2024-05-31,"Gilder Travel",software,12806.77
P00248,2024-02-27,"Harlow Print",software,45468.66
P00249,2024-05-18,"Corvin Media",materials,3966.23
P00250,2024-11-09,"Brant Logistics",facilities,545.47
P00251,2024-01-14,"Harlow Print",software,9016.78
P00252,2024-10-03,"Ember IT",logistics,110.21
P00253,2024-01-13,"Ember IT",services,9901.2
P00254,2024-12-21,"Fenwick Legal",logistics,406.9
P00255,2024-08-21,"Delvin Facilities",logistics,57.96
P00256,2024-04-22,"Fenwick Legal",software,1986.55
P00257,2024-07-17,"Gilder Travel",services,433.76
P00258,2024-01-02,"Alder Supply",facilities,506.31
P00259,2024-09-23,"Brant Logistics",services,225.72
P00260,2024-01-05,"Ember IT",services,9251.43
P00261,2024-12-28,"Harlow Print",services,147235.27
P00262,2024-11-13,"Alder Supply",services,20595.83
P00263,2024-12-12,"Harlow Print",software,49.42
P00264,2024-03-14,"Corvin Media",services,167.33
P00265,2024-01-27,"Delvin Facilities",logistics,159515.84
P00266,2024-12-24,"Alder Supply",services,65948.17
P00267,2024-04-20,"Alder Supply",materials,139.92
P00268,2024-07-26,"Alder Supply",software,25.98
P00269,2024-09-18,"Corvin Media",software,758.1
P00270,2024-07-31,"Ember IT",software,9326.94
P00271,2024-10-22,"Delvin Facilities",software,87439.26
P00272,2024-05-31,"Alder Supply",software,6832.18
P00273,2024-01-15,"Gilder Travel",facilities,205.46
P00274,2024-07-29,"Delvin Facilities",materials,1112.51
P00275,2024-12-27,"Brant Logistics",materials,22900.99
P00276,2024-04-24,"Gilder Travel",software,6294.5
P00277,2024-05-16,"Corvin Media",services,114885.46
P00278,2024-01-27,"Gilder Travel",services,1553.42
P00279,2024-07-06,"Ember IT",logistics,9616.37
P00280,2024-09-18,"Corvin Media",services,40943.18
P00281,2024-03-30,"Corvin Media",services,731.56
P00282,2024-08-07,"Corvin Media",logistics,63.86
P00283,2024-03-04,"Corvin Media",software,106.02
P00284,2024-11-03,"Harlow Print",logistics,44541.45
P00285,2024-05-29,"Corvin Media",logistics,19169.49
P00286,2024-03-09,"Brant Logistics",software,3684.19
P00287,2024-03-08,"Alder Supply",facilities,9010.96
P00288,2024-10-01,"Fenwick Legal",logistics,8194.41
P00289,2024-08-20,"Alder Supply",services,84696.13
P00290,2024-08-04,"Corvin Media",software,7832.19
P00291,2024-02-02,"Gilder Travel",software,15587.49
P00292,2024-09-11,"Ember IT",facilities,561.38
P00293,2024-07-09,"Ember IT",software,9143.1
P00294,2024-10-15,"Ember IT",materials,9292.38
P00295,2024-05-30,"Delvin Facilities",software,7604.52
P00296,2024-12-06,"Delvin Facilities",services,46.38
P00297,2024-03-02,"Alder Supply",software,87779.47
P00298,2024-12-20,"Delvin Facilities",services,50720.12
P00299,2024-07-04,"Harlow Print",software,81.77
P00300,2024-09-23,"Alder Supply",facilities,4128.48
P00301,2024-06-28,"Corvin Media",facilities,4962.44
P00302,2024-07-18,"Ember IT",services,9620.72
P00303,2024-10-01,"Brant Logistics",facilities,14832.31
P00304,2024-07-10,"Corvin Media",materials,21.43
P00305,2024-03-27,"Gilder Travel",services,7865.34
P00306,2024-02-02,"Delvin Facilities",software,5498.99
P00307,2024-02-13,"Harlow Print",software,6136.25
P00308,2024-03-03,"Ember IT",materials,9466.43
P00309,2024-03-04,"Ember IT",materials,9501.57
P00310,2024-12-11,"Brant Logistics",materials,43.51
P00311,2024-01-18,"Gilder Travel",services,423.6
P00312,2024-09-09,"Corvin Media",logistics,729.07
P00313,2024-11-03,"Brant Logistics",logistics,4755.4
P00314,2024-06-04,"Harlow Print",software,45.88
P00315,2024-01-16,"Ember IT",software,9590.7
P00316,2024-03-28,"Fenwick Legal",services,5987.27
P00317,2024-01-03,"Corvin Media",facilities,102281.01
P00318,2024-02-15,"Delvin Facilities",logistics,6472.86
P00319,2024-02-05,"Corvin Media",logistics,111551.19
P00320,2024-12-15,"Corvin Media",facilities,6106.79
P00321,2024-09-13,"Alder Supply",materials,38765.51
P00322,2024-09-03,"Fenwick Legal",logistics,7994.13
P00323,2024-01-19,"Ember IT",services,8103.69
P00324,2024-05-26,"Fenwick Legal",facilities,1189.11
P00325,2024-08-09,"Ember IT",logistics,43387.35
P00326,2024-02-04,"Brant Logistics",logistics,19214.58
P00327,2024-01-08,"Corvin Media",materials,17335.16
P00328,2024-06-01,"Alder Supply",facilities,42.27
P00329,2024-09-21,"Fenwick Legal",logistics,12622
P00330,2024-12-01,"Fenwick Legal",services,38748.75
P00331,2024-11-09,"Corvin Media",logistics,284.26
P00332,2024-08-06,"Delvin Facilities",logistics,44748.88
P00333,2024-06-08,"Harlow Print",software,129240.66
P00334,2024-04-30,"Corvin Media",logistics,11221.1
P00335,2024-04-05,"Delvin Facilities",materials,1469.23
P00336,2024-03-12,"Alder Supply",materials,1016.77
P00337,2024-10-23,"Brant Logistics",logistics,16834.72
P00338,2024-06-12,"Ember IT",logistics,40849.73
P00339,2024-10-24,"Brant Logistics",materials,32.13
P00340,2024-02-14,"Harlow Print",software,36525.69
P00341,2024-04-16,"Delvin Facilities",logistics,2001.17
P00342,2024-04-11,"Harlow Print",software,220.24
P00343,2024-08-09,"Fenwick Legal",materials,605.27
P00344,2024-06-05,"Ember IT",facilities,9705.69
P00345,2024-01-01,"Brant Logistics",logistics,6632.76
P00346,2024-12-22,"Delvin Facilities",services,959.03
P00347,2024-12-08,"Alder Supply",services,12315.98
P00348,2024-02-25,"Alder Supply",software,5332.94
P00349,2024-02-03,"Brant Logistics",materials,378.33
P00350,2024-03-21,"Harlow Print",facilities,1086.96
P00351,2024-10-02,"Harlow Print",software,52350.69
P00352,2024-03-06,"Gilder Travel",materials,208.2
P00353,2024-12-25,"Gilder Travel",services,54830.67
P00354,2024-08-20,"Harlow Print",logistics,5880.33
P00355,2024-08-25,"Alder Supply",logistics,98333.72
P00356,2024-06-11,"Harlow Print",services,6826.21
P00357,2024-01-28,"Corvin Media",facilities,63244.79
P00358,2024-06-15,"Corvin Media",materials,6386.05
P00359,2024-06-25,"Gilder Travel",software,34270.19
P00360,2024-03-04,"Brant Logistics",materials,1571.9
P00361,2024-07-01,"Ember IT",services,9251.32
P00362,2024-06-10,"Gilder Travel",materials,62330.44
P00363,2024-01-13,"Corvin Media",facilities,25955.4
P00364,2024-06-07,"Gilder Travel",materials,160.63
P00365,2024-04-04,"Gilder Travel",logistics,149.46
P00366,2024-02-13,"Delvin Facilities",materials,48.75
P00367,2024-01-06,"Gilder Travel",materials,1963.74
P00368,2024-03-29,"Fenwick Legal",logistics,235.75
P00369,2024-04-04,"Fenwick Legal",software,48.7
P00370,2024-10-31,"Brant Logistics",materials,655.6
P00371,2024-01-25,"Delvin Facilities",services,21599.52
P00372,2024-07-11,"Corvin Media",software,6156.92
P00373,2024-06-28,"Delvin Facilities",facilities,12590.86
P00374,2024-04-25,"Brant Logistics",services,2533.91
P00375,2024-12-28,"Alder Supply",software,305.71
P00376,2024-01-16,"Corvin Media",services,1831.13
P00377,2024-06-12,"Fenwick Legal",materials,161.16
P00378,2024-05-08,"Gilder Travel",services,108118.31
P00379,2024-06-27,"Harlow Print",logistics,22943.92
P00380,2024-09-25,"Delvin Facilities",facilities,30.21
P00381,2024-08-12,"Alder Supply",software,31164.67
P00382,2024-07-10,"Ember IT",facilities,70002.79
P00383,2024-06-27,"Gilder Travel",software,524.85
P00384,2024-08-10,"Fenwick Legal",materials,3447.13
P00385,2024-12-30,"Fenwick Legal",services,3023.49
P00386,2024-10-12,"Harlow Print",logistics,2622.79
P00387,2024-03-29,"Gilder Travel",materials,124781.65
P00388,2024-11-22,"Gilder Travel",logistics,402.38
P00389,2024-11-16,"Delvin Facilities",facilities,449.16
P00390,2024-11-01,"Brant Logistics",materials,27.95
P00391,2024-07-20,"Delvin Facilities",software,5107.67
P00392,2024-04-22,"Brant Logistics",services,4780.5
P00393,2024-12-16,"Corvin Media",materials,13810.42
P00394,2024-01-20,"Brant Logistics",materials,33.52
P00395,2024-11-06,"Delvin Facilities",services,10458.93
P00396,2024-02-18,"Corvin Media",facilities,157.77
P00397,2024-05-07,"Ember IT",facilities,923.76
P00398,2024-01-18,"Delvin Facilities",services,180337.92
P00399,2024-08-02,"Brant Logistics",materials,7931.04
P00400,2024-02-16,"Harlow Print",software,52.13
P00401,2024-02-16,"Fenwick Legal",logistics,7529.47
P00402,2024-07-29,"Delvin Facilities",facilities,25.9
P00403,2024-06-11,"Alder Supply",facilities,214.95
P00404,2024-11-30,"Alder Supply",logistics,6726.02
P00405,2024-05-15,"Harlow Print",facilities,35.31
P00406,2024-08-13,"Ember IT",software,1532.83
P00407,2024-05-25,"Brant Logistics",services,35488.92
P00408,2024-02-14,"Delvin Facilities",logistics,164.55
P00409,2024-09-07,"Fenwick Legal",services,134.5
P00410,2024-03-22,"Harlow Print",facilities,10379.91
P00411,2024-07-26,"Corvin Media",logistics,103303.16
P00412,2024-10-03,"Fenwick Legal",facilities,153.2
P00413,2024-12-19,"Harlow Print",software,21603.68
P00414,2024-01-09,"Delvin Facilities",software,1227.29
P00415,2024-01-22,"Gilder Travel",software,333.57
P00416,2024-06-08,"Fenwick Legal",logistics,177428.95
P00417,2024-05-15,"Ember IT",materials,9184.83
P00418,2024-12-18,"Brant Logistics",software,91.87
P00419,2024-10-15,"Delvin Facilities",services,123.45
P00420,2024-08-23,"Ember IT",facilities,391.56
P00421,2024-05-13,"Gilder Travel",materials,4904.63
P00422,2024-09-21,"Brant Logistics",facilities,783.09
P00423,2024-12-03,"Corvin Media",facilities,86816.4
P00424,2024-07-16,"Harlow Print",logistics,2777.77
P00425,2024-05-23,"Harlow Print",software,43.07
P00426,2024-10-14,"Corvin Media",materials,552.38
P00427,2024-10-24,"Corvin Media",services,49972.16
P00428,2024-02-25,"Alder Supply",services,43924.7
P00429,2024-03-05,"Brant Logistics",logistics,164530.11
P00430,2024-07-24,"Harlow Print",facilities,15620.79
P00431,2024-01-03,"Corvin Media",services,438.06
P00432,2024-02-10,"Delvin Facilities",software,116904.14
P00433,2024-09-14,"Brant Logistics",materials,22.46
P00434,2024-08-19,"Gilder Travel",logistics,38.92
P00435,2024-01-02,"Corvin Media",facilities,60235.35
P00436,2024-02-04,"Corvin Media",software,1850.91
P00437,2024-01-12,"Corvin Media",services,174820.63
P00438,2024-02-06,"Ember IT",services,9335.81
P00439,2024-12-30,"Brant Logistics",services,92693.34
P00440,2024-12-29,"Delvin Facilities",services,36.66
P00441,2024-04-02,"Corvin Media",materials,52830.06
P00442,2024-10-21,"Alder Supply",logistics,41547.39
P00443,2024-07-10,"Corvin Media",logistics,66406.91
P00444,2024-10-25,"Delvin Facilities",logistics,16942.86
P00445,2024-12-25,"Ember IT",facilities,9545.79
P00446,2024-08-06,"Delvin Facilities",software,3708.58
P00447,2024-04-22,"Harlow Print",software,76989.85
P00448,2024-09-12,"Fenwick Legal",materials,30.49
P00449,2024-12-02,"Delvin Facilities",software,30.09
P00450,2024-07-21,"Gilder Travel",logistics,1500.25
P00451,2024-06-14,"Ember IT",facilities,60.17
P00452,2024-03-21,"Gilder Travel",software,32004.36
P00453,2024-08-27,"Ember IT",facilities,9510.13
P00454,2024-06-28,"Ember IT",services,179.07
P00455,2024-05-08,"Gilder Travel",materials,52.2
P00456,2024-02-11,"Harlow Print",services,8889.93
P00457,2024-02-24,"Alder Supply",services,866.99
P00458,2024-04-19,"Corvin Media",materials,436.62
P00459,2024-08-05,"Harlow Print",logistics,2679.29
P00460,2024-09-04,"Corvin Media",materials,34785.21
P00461,2024-12-15,"Corvin Media",logistics,137417.74
P00462,2024-03-09,"Delvin Facilities",materials,89214.48
P00463,2024-07-21,"Ember IT",services,20.09
P00464,2024-10-29,"Fenwick Legal",software,34212.19
P00465,2024-11-29,"Ember IT",logistics,9126.82
P00466,2024-03-23,"Delvin Facilities",materials,158.55
P00467,2024-11-28,"Brant Logistics",services,990.01
P00468,2024-05-05,"Alder Supply",materials,78866.63
P00469,2024-10-29,"Delvin Facilities",software,254.14
P00470,2024-12-13,"Corvin Media",services,92379.81
P00471,2024-01-09,"Harlow Print",materials,22.86
P00472,2024-03-17,"Corvin Media",facilities,4252.47
P00473,2024-05-06,"Delvin Facilities",services,29404.55
P00474,2024-03-29,"Brant Logistics",materials,2747.39
P00475,2024-04-01,"Harlow Print",services,36.64
P00476,2024-07-12,"Corvin Media",software,322.78
P00477,2024-03-23,"Delvin Facilities",logistics,196161.33
P00478,2024-05-07,"Delvin Facilities",facilities,457.31
P00479,2024-06-19,"Corvin Media",materials,3906.6
P00480,2024-05-02,"Fenwick Legal",software,4094.05
P00481,2024-11-12,"Harlow Print",software,1649.08
P00482,2024-08-03,"Fenwick Legal",services,105.29
P00483,2024-12-12,"Brant Logistics",logistics,84.55
P00484,2024-03-02,"Alder Supply",software,30.47
P00485,2024-01-09,"Corvin Media",materials,20.64
P00486,2024-06-02,"Corvin Media",services,271.93
P00487,2024-02-27,"Alder Supply",facilities,21390.54
P00488,2024-09-10,"Harlow Print",materials,3074.31
P00489,2024-01-02,"Fenwick Legal",software,698.17
P00490,2024-06-10,"Delvin Facilities",services,168920.9
P00491,2024-07-07,"Ember IT",materials,71921.6
P00492,2024-06-21,"Harlow Print",logistics,65.8
P00493,2024-02-16,"Fenwick Legal",software,70.17
P00494,2024-11-23,"Fenwick Legal",logistics,47745.7
P00495,2024-01-24,"Corvin Media",services,79.68
P00496,2024-12-13,"Corvin Media",facilities,384.37
P00497,2024-05-30,"Fenwick Legal",logistics,197725.19
P00498,2024-04-25,"Alder Supply",software,66400.59
P00499,2024-04-16,"Brant Logistics",software,6140.65
P00500,2024-08-30,"Ember IT",materials,9949.25
P00501,2024-07-24,"Ember IT",software,9717.77
P00502,2024-10-22,"Corvin Media",materials,68.99
P00503,2024-10-09,"Alder Supply",materials,200.05
P00504,2024-09-30,"Gilder Travel",software,10887.01
P00505,2024-02-28,"Ember IT",materials,78413.4
P00506,2024-03-04,"Fenwick Legal",services,23.85
P00507,2024-10-23,"Ember IT",services,9645.37
P00508,2024-08-04,"Brant Logistics",materials,33427.41
P00509,2024-10-16,"Alder Supply",software,322.68
P00510,2024-04-11,"Alder Supply",facilities,9836.54
P00511,2024-10-24,"Harlow Print",materials,33761.14
P00512,2024-05-14,"Harlow Print",software,270.48
P00513,2024-05-17,"Brant Logistics",materials,273.39
P00514,2024-01-12,"Ember IT",software,9339.17
