loan_id,credit_score,annual_income,loan_amount,debt_to_income,months_employed,prior_defaults,purpose,defaulted
L00091,772,70200,26400,0.302,106,0,debt_consolidation,0
L00092,658,30600,18000,0.26,102,0,vehicle,0
L00093,682,38000,20900,0.508,34,0,home_improvement,0
L00094,678,43000,11300,0.517,56,0,medical,0
L00095,707,165300,64100,0.395,33,0,debt_consolidation,0
L00096,730,24200,13300,0.409,26,0,home_improvement,0
L00097,723,37000,18400,0.439,24,0,vehicle,0
L00098,710,50600,32700,0.187,0,0,debt_consolidation,0
L00099,703,93700,16700,0.217,52,0,debt_consolidation,0
L00100,756,35400,12200,0.392,42,0,vehicle,0
L00101,724,39500,23000,0.516,31,0,other,0
L00102,759,53600,20000,0.105,109,0,vehicle,0
L00103,674,69400,16800,0.471,19,0,debt_consolidation,1
L00104,690,36900,26800,0.507,109,0,medical,0
L00105,640,36800,11600,0.312,3,2,debt_consolidation,0
L00106,697,35500,12600,0.537,63,1,vehicle,0
L00107,637,87600,13800,0.346,0,0,debt_consolidation,1
L00108,628,92700,61500,0.241,63,0,debt_consolidation,0
L00109,576,68900,17000,0.27,82,0,other,1
L00110,619,18600,13500,0.604,14,0,other,0
L00111,785,40200,20700,0.143,54,1,home_improvement,0
L00112,778,44300,19900,0.02,35,0,home_improvement,0
L00113,670,31100,11300,0.281,105,0,debt_consolidation,0
L00114,541,32800,5000,0.272,37,0,other,0
L00115,675,35100,25300,0.312,69,0,vehicle,0
L00116,573,41800,21900,0.315,90,0,home_improvement,1
L00117,610,46700,20300,0.219,36,0,debt_consolidation,0
L00118,738,63800,26800,0.378,96,0,vehicle,0
L00119,631,36200,24000,0.523,67,0,other,0
L00120,728,45900,13700,0.374,55,0,vehicle,0
L00121,595,80200,54000,0.536,9,0,other,1
L00122,736,35900,20600,0.378,0,0,vehicle,0
L00123,679,50600,11200,0.424,0,0,medical,1
L00124,675,132400,33500,0.384,50,0,vehicle,0
L00125,677,73700,41100,0.225,6,0,other,1
L00126,656,33500,13100,0.286,9,0,vehicle,0
L00127,840,83000,30500,0.219,77,0,debt_consolidation,0
L00128,613,49900,21500,0.232,46,0,other,0
L00129,780,58300,43300,0.436,38,0,other,0
L00130,661,77300,53400,0.259,62,0,other,0
L00131,784,70100,34700,0.179,51,0,vehicle,0
L00132,760,38100,26600,0.414,63,0,home_improvement,0
L00133,706,49200,17000,0.38,37,0,debt_consolidation,0
L00134,755,39700,24800,0.416,78,0,home_improvement,0
L00135,711,60200,39800,0.181,41,0,home_improvement,0
L00136,721,39600,9600,0.604,16,0,debt_consolidation,0
L00137,603,52600,29000,0.376,75,0,home_improvement,1
L00138,654,79100,29600,0.21,34,1,other,0
L00139,747,59100,14100,0.167,19,0,vehicle,0
L00140,748,36700,27200,0.271,41,1,debt_consolidation,0
L00141,668,46800,9200,0.289,86,0,medical,0
L00142,575,66000,30100,0.336,32,0,other,1
L00143,765,59400,23700,0.322,34,1,debt_consolidation,0
L00144,795,61100,29000,0.285,83,0,debt_consolidation,1
L00145,699,54500,33100,0.384,42,1,home_improvement,0
L00146,586,34300,19500,0.389,55,0,other,0
L00147,696,41800,8000,0.335,78,1,other,0
L00148,682,55900,20900,0.276,0,0,medical,0
L00149,650,43700,10400,0.308,125,0,other,0
L00150,702,40200,11900,0.265,46,0,vehicle,0
L00151,600,59100,9300,0.254,59,0,debt_consolidation,0
L00152,757,61600,36500,0.432,15,1,debt_consolidation,0
L00153,645,51400,19400,0.295,97,2,medical,0
L00154,693,42800,19200,0.294,46,0,other,1
L00155,615,42600,22500,0.294,47,0,other,0
L00156,623,45900,28300,0.324,19,0,other,0
L00157,687,96600,30700,0.311,29,1,medical,1
L00158,679,33800,11300,0.451,94,0,debt_consolidation,1
L00159,680,34700,23700,0.326,32,0,vehicle,0
L00160,759,47600,17100,0.438,38,0,debt_consolidation,0
L00161,602,41700,21700,0.451,54,0,medical,1
L00162,640,34800,19100,0.219,16,0,other,0
L00163,679,83800,15300,0.615,71,0,vehicle,1
L00164,763,85300,36900,0.32,17,1,vehicle,0
L00165,786,66200,32700,0.49,43,0,debt_consolidation,0
L00166,616,65500,12800,0.413,77,0,debt_consolidation,0
L00167,637,50500,25900,0.389,55,2,medical,1
L00168,623,44400,11600,0.513,46,0,other,0
L00169,524,20700,9400,0.344,80,0,vehicle,0
L00170,667,52600,21300,0.53,66,0,other,1
L00171,718,36200,14600,0.02,108,0,medical,0
L00172,712,68100,50100,0.33,96,0,debt_consolidation,0
L00173,653,39500,26700,0.58,47,0,vehicle,0
L00174,727,41200,7300,0.342,92,0,home_improvement,0
L00175,719,41000,11900,0.407,96,0,home_improvement,0
L00176,708,65200,17000,0.245,96,0,medical,0
L00177,724,76100,39800,0.555,46,1,vehicle,1
L00178,735,150900,111100,0.484,72,1,debt_consolidation,0
L00179,680,106800,53600,0.499,81,0,debt_consolidation,0
L00180,652,43400,19100,0.563,41,0,home_improvement,0
L00181,652,37700,10000,0.479,18,1,medical,0
L00182,771,50300,10600,0.33,26,0,home_improvement,0
L00183,690,50200,7500,0.483,56,0,other,0
L00184,633,60400,41900,0.277,0,0,home_improvement,0
L00185,503,34600,10000,0.289,55,2,other,0
L00186,681,32400,20100,0.368,47,1,home_improvement,0
L00187,687,73900,48400,0.387,34,0,other,0
L00188,757,33700,10200,0.407,69,0,debt_consolidation,0
L00189,632,36100,8300,0.131,81,0,home_improvement,0
L00190,738,51900,24300,0.438,58,0,vehicle,0
L00191,711,49700,18800,0.483,57,0,medical,0
L00192,675,40900,24000,0.334,61,0,vehicle,0
L00193,720,49300,31300,0.459,0,0,other,1
L00194,670,49500,22400,0.184,45,0,home_improvement,0
L00195,796,126900,52800,0.264,81,0,vehicle,0
L00196,663,102500,63400,0.466,67,0,vehicle,1
L00197,788,57400,21000,0.26,10,0,vehicle,0
L00198,650,55000,29100,0.505,0,0,debt_consolidation,0
L00199,610,89700,51000,0.234,54,0,home_improvement,0
L00200,711,45800,33200,0.27,97,0,debt_consolidation,0
L00201,658,42700,25600,0.392,76,0,vehicle,0
L00202,727,55600,32000,0.371,80,0,home_improvement,0
L00203,674,48000,34400,0.483,88,0,medical,0
L00204,572,74300,30300,0.471,64,0,vehicle,0
L00205,790,27900,5500,0.174,74,0,medical,0
L00206,653,60100,9000,0.451,28,0,other,0
L00207,622,100700,56600,0.336,41,0,other,0
L00208,778,61700,37900,0.387,11,0,other,0
L00209,751,59200,37200,0.301,48,0,vehicle,0
L00210,707,36500,18200,0.32,79,0,other,0
L00211,675,41400,6700,0.412,27,0,debt_consolidation,0
L00212,682,64100,13300,0.347,76,0,vehicle,0
L00213,646,54600,32300,0.237,123,0,home_improvement,0
L00214,747,38600,9900,0.508,0,0,medical,1
L00215,744,54900,19600,0.444,90,0,other,0
L00216,724,120000,25700,0.401,76,0,home_improvement,0
L00217,786,81600,26800,0.37,84,0,medical,0
L00218,730,31400,7400,0.31,22,0,debt_consolidation,0
L00219,752,47300,24300,0.358,32,1,debt_consolidation,0
L00220,713,94000,14700,0.212,37,0,home_improvement,0
L00221,612,32000,7400,0.295,58,0,other,0
L00222,756,42100,14200,0.168,56,0,debt_consolidation,0
L00223,640,50700,13700,0.308,44,0,medical,0
L00224,835,45100,17500,0.243,27,0,vehicle,0
L00225,693,55000,17100,0.263,110,0,vehicle,0
L00226,786,45700,31000,0.259,76,0,debt_consolidation,0
L00227,768,44500,28500,0.241,10,0,home_improvement,0
L00228,784,59600,19400,0.264,85,0,home_improvement,0
L00229,633,41600,17700,0.142,74,1,medical,0
L00230,729,64300,39400,0.386,52,0,vehicle,0
L00231,787,59600,37900,0.325,83,0,medical,0
L00232,716,57900,42000,0.385,43,0,other,0
L00233,609,71400,19300,0.226,24,0,vehicle,0
L00234,625,89700,26000,0.33,26,2,debt_consolidation,1
L00235,611,42300,16900,0.315,24,0,vehicle,0
L00236,641,80400,39700,0.468,109,0,medical,0
L00237,721,81700,13900,0.284,89,0,debt_consolidation,0
L00238,697,64800,12700,0.425,68,0,debt_consolidation,0
L00239,764,53800,9300,0.399,28,0,medical,0
L00240,652,72100,48600,0.562,92,0,other,1
L00241,689,49000,33300,0.243,39,0,home_improvement,0
L00242,552,141100,73500,0.417,86,0,vehicle,0
L00243,839,70700,37800,0.328,48,0,other,0
L00244,711,32800,19700,0.435,78,0,other,1
L00245,630,24700,6900,0.515,50,0,medical,1
L00246,682,47000,7200,0.416,56,0,other,0
L00247,648,82100,22300,0.123,48,0,medical,0
L00248,667,25400,13200,0.152,90,1,debt_consolidation,0
L00249,656,43500,17400,0.427,66,0,vehicle,0
L00250,729,81800,32500,0.084,47,0,vehicle,0
L00251,772,25000,12600,0.415,85,0,vehicle,0
L00252,692,43900,11000,0.416,42,0,other,1
L00253,665,55600,27500,0.445,25,0,vehicle,1
L00254,714,71800,22600,0.198,62,0,other,0
L00255,634,60800,9800,0.344,106,0,vehicle,0
L00256,615,49800,22200,0.062,17,1,vehicle,0
L00257,703,35700,21900,0.309,79,0,debt_consolidation,0
L00258,741,43100,11400,0.389,46,0,debt_consolidation,0
L00259,698,110300,50900,0.362,87,1,medical,0
L00260,743,30800,7800,0.388,57,0,home_improvement,0
L00261,815,43500,11500,0.386,53,0,debt_consolidation,0
L00262,668,81900,29700,0.274,49,1,medical,1
L00263,650,167000,40700,0.33,77,0,debt_consolidation,0
L00264,604,53900,32300,0.434,0,0,vehicle,1
L00265,728,54400,10700,0.128,63,0,other,0
L00266,639,61400,42900,0.595,36,0,vehicle,1
L00267,724,50400,7700,0.311,3,0,debt_consolidation,1
L00268,651,58200,33200,0.531,45,0,other,0
L00269,744,64700,17600,0.352,65,0,medical,0
L00270,722,68700,15400,0.132,0,0,other,0
L00271,673,107600,57300,0.38,75,0,medical,0
L00272,751,65500,48100,0.398,48,0,debt_consolidation,0
L00273,747,51400,16500,0.088,80,0,other,0
L00274,650,21700,16000,0.34,59,1,other,0
L00275,745,29600,6100,0.385,47,0,other,0
L00276,782,54000,16300,0.576,84,0,medical,0
L00277,610,29100,9100,0.5,64,0,medical,0
L00278,632,35100,10800,0.548,37,0,vehicle,1
L00279,838,67600,18400,0.171,102,0,debt_consolidation,0
L00280,666,47800,32000,0.56,48,0,debt_consolidation,0
L00281,686,54900,33000,0.324,32,0,medical,0
L00282,681,50900,24200,0.386,67,0,medical,0
L00283,699,45100,9400,0.421,19,0,vehicle,0
L00284,700,52200,15800,0.498,0,0,home_improvement,0
L00285,805,22500,7300,0.315,103,0,home_improvement,0
L00286,669,28100,16800,0.383,22,0,home_improvement,0
L00287,748,41100,12600,0.28,114,0,home_improvement,0
L00288,754,67600,42800,0.186,98,0,home_improvement,0
L00289,696,33900,11200,0.59,20,0,home_improvement,0
L00290,702,52500,19200,0.331,69,0,medical,0
L00291,583,60300,26600,0.593,2,0,home_improvement,1
L00292,819,109900,67500,0.413,62,0,medical,0
L00293,725,69400,29000,0.382,143,0,debt_consolidation,0
L00294,781,31800,20600,0.468,101,0,other,0
L00295,719,49900,30400,0.282,98,0,home_improvement,0
L00296,806,61300,35600,0.389,15,0,medical,0
L00297,696,65900,32600,0.405,110,0,home_improvement,0
L00298,617,43300,8500,0.296,0,0,medical,1
L00299,800,38200,15200,0.283,85,0,other,0
L00300,662,55700,17400,0.213,82,0,other,0
L00301,609,63700,17800,0.162,0,0,home_improvement,1
L00302,507,48300,12000,0.572,79,0,home_improvement,1
L00303,646,34800,12700,0.39,42,0,medical,0
L00304,728,102900,75000,0.537,34,1,vehicle,0
L00305,782,38700,20000,0.164,16,0,debt_consolidation,0
L00306,775,62500,17400,0.482,96,1,other,0
L00307,826,45600,20000,0.197,33,1,medical,0
L00308,665,56400,33400,0.163,125,0,debt_consolidation,0
L00309,709,50900,22300,0.256,123,0,medical,0
L00310,794,93300,46400,0.169,49,0,vehicle,0
L00311,638,36600,7700,0.443,73,0,debt_consolidation,0
L00312,565,71000,26000,0.277,43,0,debt_consolidation,1
L00313,771,36200,18600,0.541,62,0,home_improvement,0
L00314,757,62700,11400,0.378,102,0,debt_consolidation,0
L00315,793,44800,18200,0.321,78,0,other,0
L00316,750,66400,25800,0.363,110,0,vehicle,0
L00317,636,32100,10600,0.199,77,0,home_improvement,0
L00318,726,39200,21000,0.456,52,1,other,0
L00319,756,32100,11400,0.539,46,0,vehicle,0
L00320,783,35100,12600,0.088,9,0,debt_consolidation,0
L00321,644,80000,29000,0.519,9,0,home_improvement,1
L00322,711,73500,16300,0.105,86,0,vehicle,0
L00323,761,30800,6100,0.269,70,0,debt_consolidation,0
L00324,652,45900,10400,0.45,3,0,other,0
L00325,623,54200,35000,0.349,87,0,debt_consolidation,0
L00326,717,34100,16000,0.262,98,0,debt_consolidation,0
L00327,625,43300,28900,0.406,75,0,home_improvement,0
L00328,741,64500,29700,0.366,17,0,vehicle,1
L00329,792,72200,23900,0.394,59,0,medical,0
L00330,726,83500,61600,0.333,76,0,debt_consolidation,0
L00331,703,89800,58100,0.543,141,0,home_improvement,0
L00332,741,25200,8800,0.391,0,1,home_improvement,1
L00333,659,30500,21100,0.151,144,0,other,0
L00334,775,78300,29600,0.492,114,0,other,0
L00335,662,46400,30900,0.478,64,0,debt_consolidation,0
L00336,736,30000,14000,0.435,25,0,vehicle,0
L00337,620,45100,7900,0.454,48,0,other,0
L00338,610,67300,29200,0.507,35,0,other,0
L00339,578,89600,34500,0.372,71,0,vehicle,0
L00340,657,43200,30800,0.31,0,0,debt_consolidation,1
L00341,744,63800,46000,0.381,67,1,medical,0
L00342,677,111400,70900,0.387,28,0,other,1
L00343,632,28200,7700,0.413,59,0,debt_consolidation,0
L00344,637,91800,60900,0.318,82,2,vehicle,1
L00345,790,49700,12100,0.283,70,0,medical,1
L00346,650,42600,12100,0.384,18,0,vehicle,1
L00347,704,67600,44300,0.362,0,0,home_improvement,1
L00348,627,71300,52100,0.2,96,0,debt_consolidation,0
L00349,728,63700,24600,0.166,78,0,debt_consolidation,0
L00350,738,31100,21200,0.405,67,0,vehicle,0
L00351,729,59900,13000,0.214,40,0,vehicle,1
L00352,829,40800,12000,0.395,34,2,home_improvement,0
L00353,725,26400,8800,0.371,74,0,debt_consolidation,0
L00354,698,24600,11400,0.303,15,0,other,1
L00355,566,70600,33200,0.219,81,0,vehicle,0
L00356,705,38300,28600,0.404,20,0,debt_consolidation,0
L00357,721,62900,44600,0.276,78,0,vehicle,0
L00358,678,60500,30100,0.479,67,0,debt_consolidation,0
L00359,819,62100,14300,0.31,0,0,other,0
L00360,727,69400,34300,0.128,96,0,medical,0
L00361,730,38500,24500,0.295,38,0,vehicle,0
L00362,663,43700,22200,0.379,92,0,medical,0
L00363,664,154300,26300,0.399,59,0,other,0
L00364,652,81600,18900,0.272,113,0,medical,0
L00365,647,46000,12600,0.305,45,0,debt_consolidation,0
L00366,728,59200,36100,0.404,71,0,home_improvement,0
L00367,525,47300,18300,0.198,101,0,medical,0
L00368,769,65300,33700,0.273,102,0,other,0
L00369,754,27700,12600,0.177,0,0,medical,1
L00370,619,38300,28300,0.367,0,0,debt_consolidation,1
L00371,719,30400,21100,0.088,74,0,other,0
L00372,741,67300,49900,0.156,105,0,medical,0
L00373,531,47200,29000,0.233,8,0,vehicle,1
L00374,813,37800,18100,0.229,47,0,medical,0
L00375,769,52300,20400,0.423,28,0,other,1
L00376,499,37300,13600,0.537,65,0,debt_consolidation,1
L00377,661,46900,26400,0.415,69,2,vehicle,1
L00378,545,65400,38600,0.319,46,2,medical,1
L00379,622,55600,17300,0.38,54,0,home_improvement,0
L00380,623,103100,29800,0.09,88,0,home_improvement,0
L00381,654,37600,18500,0.144,77,1,other,0
L00382,597,24100,12200,0.183,6,0,medical,0
L00383,636,42500,9900,0.339,18,0,home_improvement,0
L00384,655,53600,30600,0.296,20,0,medical,0
L00385,783,26900,4800,0.506,36,0,home_improvement,0
L00386,800,38400,26300,0.301,0,0,vehicle,0
L00387,661,32900,6600,0.289,85,0,vehicle,0
L00388,619,23900,6400,0.459,0,0,debt_consolidation,0
L00389,701,56700,34300,0.628,40,0,vehicle,0
L00390,632,67900,10300,0.365,29,0,medical,1
L00391,690,42000,25400,0.339,0,2,debt_consolidation,1
L00392,591,47400,24100,0.263,15,0,vehicle,1
L00393,727,82100,28500,0.634,74,0,debt_consolidation,1
L00394,803,26100,18600,0.286,0,1,vehicle,0
L00395,840,26000,15200,0.393,46,0,vehicle,0
L00396,583,63600,19300,0.134,58,0,vehicle,0
L00397,642,27800,19100,0.492,103,0,vehicle,1
L00398,690,35900,14600,0.277,70,0,debt_consolidation,0
L00399,824,47600,18700,0.288,45,0,debt_consolidation,0
L00400,657,45800,22400,0.506,69,0,medical,1
L00401,694,94400,48400,0.183,64,0,other,0
L00402,716,83900,41700,0.417,65,0,other,0
L00403,752,110000,72100,0.424,47,0,home_improvement,1
L00404,769,49600,32400,0.3,72,0,vehicle,0
L00405,688,45300,19900,0.151,98,1,medical,0
L00406,764,70700,45600,0.175,82,0,vehicle,1
L00407,698,25000,16900,0.336,66,0,other,1
L00408,593,31400,11100,0.297,77,0,medical,0
L00409,617,41600,25100,0.394,107,2,debt_consolidation,0
L00410,689,34700,5800,0.464,95,0,other,0
L00411,791,34400,16400,0.304,0,0,vehicle,0
L00412,737,46800,13000,0.315,116,0,other,0
L00413,656,42000,21100,0.225,41,0,home_improvement,0
L00414,749,44500,18500,0.343,46,1,debt_consolidation,0
L00415,678,55800,30300,0.3,61,0,medical,0
L00416,686,82500,34800,0.432,53,0,other,0
L00417,764,26300,9500,0.368,62,0,debt_consolidation,0
L00418,613,27500,15000,0.48,90,0,vehicle,0
L00419,816,70700,44900,0.235,125,0,vehicle,0
L00420,646,93400,45500,0.404,0,0,home_improvement,1
L00421,691,44600,25200,0.376,32,0,debt_consolidation,0
L00422,768,69300,46700,0.376,2,0,other,0
L00423,670,51000,35700,0.597,85,0,medical,0
L00424,668,77400,16100,0.298,29,0,debt_consolidation,0
L00425,620,51900,27300,0.399,30,0,medical,0
L00426,667,62900,10800,0.384,75,0,home_improvement,0
L00427,676,57900,38900,0.616,80,0,vehicle,0
L00428,728,100600,63000,0.291,80,0,debt_consolidation,1
L00429,840,62800,31600,0.274,43,0,debt_consolidation,0
L00430,631,29900,9700,0.339,0,0,debt_consolidation,0
L00431,708,29100,14700,0.312,64,0,other,1
L00432,669,31400,19800,0.463,6,0,debt_consolidation,1
L00433,639,45900,20100,0.3,17,1,vehicle,1
L00434,724,54600,23800,0.18,65,0,other,0
L00435,761,85300,13700,0.242,53,0,home_improvement,0
L00436,734,96800,18900,0.319,79,1,other,0
L00437,760,93600,29400,0.122,91,1,home_improvement,1
L00438,696,36400,14300,0.565,71,0,debt_consolidation,0
L00439,742,55400,30800,0.398,78,0,medical,0
L00440,653,48500,15300,0.269,29,0,other,0
L00441,707,32200,17400,0.26,112,0,medical,0
L00442,840,44300,23700,0.324,28,0,debt_consolidation,0
L00443,715,22600,13100,0.581,0,0,medical,1
L00444,833,51800,10600,0.338,92,0,debt_consolidation,0
L00445,743,60000,10000,0.32,50,0,vehicle,0
L00446,647,38500,10100,0.376,34,0,debt_consolidation,1
L00447,703,52300,24500,0.348,29,0,home_improvement,0
L00448,624,59900,30000,0.381,77,0,debt_consolidation,0
L00449,727,65400,44400,0.569,77,0,debt_consolidation,0
L00450,687,48900,16100,0.416,0,0,home_improvement,1
L00451,665,56400,24900,0.097,19,0,medical,0
L00452,550,48000,18900,0.343,16,0,debt_consolidation,0
L00453,727,103400,75400,0.322,64,0,medical,1
L00454,722,75300,16700,0.394,86,0,vehicle,0
L00455,673,32400,10000,0.206,67,0,other,0
L00456,704,56600,31400,0.02,108,0,home_improvement,0
L00457,698,20900,4900,0.214,23,0,medical,0
L00458,786,45900,11700,0.658,120,0,home_improvement,0
L00459,772,34700,15100,0.331,21,0,home_improvement,0
L00460,605,60800,17200,0.281,96,0,medical,0
L00461,659,62900,23000,0.388,45,0,vehicle,1
L00462,646,46300,14900,0.193,94,0,home_improvement,0
L00463,618,29100,5300,0.429,0,1,home_improvement,1
L00464,678,72100,38000,0.25,23,0,medical,0
L00465,560,28300,5700,0.309,80,0,vehicle,0
L00466,709,46400,33900,0.392,14,0,debt_consolidation,0
L00467,701,77800,40200,0.212,63,0,other,0
L00468,703,70800,34000,0.335,103,0,medical,0
L00469,698,82500,45000,0.279,4,0,home_improvement,1
L00470,633,73500,26100,0.668,55,0,home_improvement,0
L00471,714,40000,15100,0.283,52,0,vehicle,0
L00472,700,26300,4700,0.303,30,0,home_improvement,0
L00473,646,49800,34600,0.115,44,1,other,1
L00474,624,39100,15200,0.337,2,0,other,0
L00475,840,53600,21800,0.289,153,0,home_improvement,0
L00476,757,71600,51400,0.184,0,0,debt_consolidation,0
L00477,698,44400,24900,0.366,84,0,debt_consolidation,0
L00478,786,31800,22100,0.216,0,0,debt_consolidation,1
L00479,669,34800,18600,0.476,22,0,medical,0
L00480,633,72300,37300,0.41,0,1,vehicle,1
L00481,799,39900,6600,0.503,51,0,medical,0
L00482,694,31200,22400,0.394,80,0,home_improvement,0
L00483,782,68600,20300,0.389,31,0,other,0
L00484,700,42000,22000,0.463,87,1,other,0
L00485,693,43300,22100,0.056,25,1,vehicle,0
L00486,643,46500,23100,0.282,39,0,vehicle,0
L00487,706,98200,66600,0.337,67,0,other,0
L00488,706,45900,32900,0.235,82,0,medical,0
L00489,742,69000,26800,0.357,0,0,home_improvement,0
L00490,641,60300,28800,0.301,64,0,medical,1
L00491,635,121400,48300,0.271,0,0,debt_consolidation,0
L00492,676,70700,10900,0.377,27,0,vehicle,1
L00493,648,87700,27300,0.506,67,0,other,0
L00494,702,29400,5100,0.314,24,2,home_improvement,1
L00495,634,40200,29900,0.166,20,0,other,1
L00496,635,82100,30900,0.066,73,1,home_improvement,1
L00497,756,72400,27500,0.243,58,0,debt_consolidation,0
L00498,612,40800,28000,0.631,58,0,medical,1
L00499,665,61600,41500,0.172,91,0,debt_consolidation,0
L00500,817,34700,21500,0.307,65,0,vehicle,0
L00501,571,61200,28700,0.332,18,0,debt_consolidation,0
L00502,776,38500,12600,0.31,10,0,debt_consolidation,0
L00503,766,48800,25000,0.406,123,0,vehicle,0
L00504,693,77900,55600,0.293,126,0,medical,0
L00505,722,45200,24200,0.331,57,0,debt_consolidation,0
L00506,510,52200,22100,0.509,52,0,other,0
L00507,662,68400,33800,0.506,33,0,medical,1
L00508,607,52200,32600,0.451,149,1,medical,1
L00509,780,29400,8100,0.333,74,0,home_improvement,0
L00510,704,37200,7200,0.252,0,0,vehicle,0
L00511,711,57200,40700,0.329,21,0,vehicle,0
L00512,724,30700,21400,0.41,65,0,other,0
L00513,610,45400,21400,0.442,60,2,other,1
L00514,771,33900,14800,0.62,42,0,vehicle,1
L00515,772,97100,69500,0.477,0,0,vehicle,0
L00516,706,49800,18800,0.3,67,0,other,0
L00517,764,85200,25100,0.289,117,0,other,0
